model_key,model,score,parameter,parameter_value,lambda,commitment_nll,signaling_nll,binomial_nll,raw_trials,command,reused,average_success_percent,average_efficiency_percent,average_commitment_percent,average_signaling_percent,equal_success_percent,equal_efficiency_percent,equal_commitment_percent,equal_signaling_percent,average_btom_step1_percent,equal_btom_step1_percent,average_btom_step1_3_percent,equal_btom_step1_3_percent
opportunity_gated_costly_mixture,Opportunity-gated communicative action mixture,opportunity_costly_mixture,rho_max,0.75,0.2,173.7947952183153,190.33016607895894,364.12496129727424,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/shared_agency_new_signaling_models_comparison/opportunity_gated_costly_mixture_sweep/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p2_alpha_0p75_score_opportunity_costly_mixture_sessions_0_to_29.json.zst,node /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/scripts/simulate_always_signal_vs_always_signal_2p3g.js --sessions 30 --trials 12 --seed 42 --lambda 0.2 --alpha 0.75 --beta 3.0 --score opportunity_costly_mixture --horizon 1 --unshaped-joint-rl --compact-diagnostics --output-dir /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/shared_agency_new_signaling_models_comparison/simulations/opportunity_gated_costly_mixture_sweep --raw-output-dir /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/shared_agency_new_signaling_models_comparison/opportunity_gated_costly_mixture_sweep,True,93.88888888888889,87.96106552912109,68.03637566137566,36.51785714285714,100.0,97.95648795648795,87.64367816091954,48.56321839080459,66.47295198140061,72.9050333140534,73.20258527905175,81.70813113818883
goal_contrast,Goal-contrast signaling,goal_contrast,rho,0.5,0.2,174.64899010660025,185.93532926500313,360.5843193716034,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/shared_agency_new_signaling_models_comparison/goal_contrast_sweep/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p2_alpha_0p5_score_goal_contrast_sessions_0_to_29.json.zst,node /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/scripts/simulate_always_signal_vs_always_signal_2p3g.js --sessions 30 --trials 12 --seed 42 --lambda 0.2 --alpha 0.5 --beta 3.0 --score goal_contrast --horizon 1 --unshaped-joint-rl --compact-diagnostics --output-dir /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/shared_agency_new_signaling_models_comparison/simulations/goal_contrast_sweep --raw-output-dir /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/shared_agency_new_signaling_models_comparison/goal_contrast_sweep,True,89.72222222222223,88.19604930355982,72.50330687830687,43.23412698412698,100.0,98.33578921078922,95.83333333333334,64.72222222222221,68.94757308288065,79.75079674352516,74.43702696189071,86.81202133962432
one_step_deliberate,One-step deliberate signal,one_step_deliberate,rho,0.75,0.2,178.77686012897527,193.73534059320173,372.512200722177,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/shared_agency_new_signaling_models_comparison/one_step_deliberate_sweep/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p2_alpha_0p75_score_one_step_deliberate_sessions_0_to_29.json.zst,node /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/scripts/simulate_always_signal_vs_always_signal_2p3g.js --sessions 30 --trials 12 --seed 42 --lambda 0.2 --alpha 0.75 --beta 3.0 --score one_step_deliberate --horizon 1 --unshaped-joint-rl --compact-diagnostics --output-dir /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/shared_agency_new_signaling_models_comparison/simulations/one_step_deliberate_sweep --raw-output-dir /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/shared_agency_new_signaling_models_comparison/one_step_deliberate_sweep,True,90.83333333333333,88.66651124572613,74.91071428571429,34.71560846560847,98.88888888888889,98.2589339672673,93.33333333333333,46.111111111111114,65.89060217136878,70.85221033969358,75.24397202184862,84.1130338077985
