participantId,group,distanceCondition,stepFromNewGoal,posterior
human_2ed9e54f-be52-49b9-a758-abb5f5ef5150_player2,Human-Human,closer_to_player1,4,0.9999534564587451
human_2ed9e54f-be52-49b9-a758-abb5f5ef5150_player2,Human-Human,closer_to_player1,5,0.9999549572522817
human_2ed9e54f-be52-49b9-a758-abb5f5ef5150_player2,Human-Human,closer_to_player2,0,0.5
human_2ed9e54f-be52-49b9-a758-abb5f5ef5150_player2,Human-Human,closer_to_player2,1,0.5917598717018703
human_2ed9e54f-be52-49b9-a758-abb5f5ef5150_player2,Human-Human,closer_to_player2,2,0.9998678341166193
human_2ed9e54f-be52-49b9-a758-abb5f5ef5150_player2,Human-Human,closer_to_player2,3,0.9999999741183311
human_2ed9e54f-be52-49b9-a758-abb5f5ef5150_player2,Human-Human,closer_to_player2,4,0.9999999999912986
human_2ed9e54f-be52-49b9-a758-abb5f5ef5150_player2,Human-Human,closer_to_player2,5,0.9999999999914267
human_2ed9e54f-be52-49b9-a758-abb5f5ef5150_player2,Human-Human,equal_to_both,0,0.5
human_2ed9e54f-be52-49b9-a758-abb5f5ef5150_player2,Human-Human,equal_to_both,1,0.6469751269876017
human_2ed9e54f-be52-49b9-a758-abb5f5ef5150_player2,Human-Human,equal_to_both,2,0.8093352216337104
human_2ed9e54f-be52-49b9-a758-abb5f5ef5150_player2,Human-Human,equal_to_both,3,0.810699870971279
human_2ed9e54f-be52-49b9-a758-abb5f5ef5150_player2,Human-Human,equal_to_both,4,0.9998812307482887
human_2ed9e54f-be52-49b9-a758-abb5f5ef5150_player2,Human-Human,equal_to_both,5,0.999940134707057
human_31e13002-490a-484d-a0f6-1781673d477a_player1,Human-Human,closer_to_player1,0,0.5
human_31e13002-490a-484d-a0f6-1781673d477a_player1,Human-Human,closer_to_player1,1,0.9999960864970585
human_31e13002-490a-484d-a0f6-1781673d477a_player1,Human-Human,closer_to_player1,2,0.9999999999121916
human_31e13002-490a-484d-a0f6-1781673d477a_player1,Human-Human,closer_to_player1,3,0.9999999999999942
human_31e13002-490a-484d-a0f6-1781673d477a_player1,Human-Human,closer_to_player1,4,1.0
human_31e13002-490a-484d-a0f6-1781673d477a_player1,Human-Human,closer_to_player1,5,1.0
human_31e13002-490a-484d-a0f6-1781673d477a_player1,Human-Human,closer_to_player2,0,0.5
human_31e13002-490a-484d-a0f6-1781673d477a_player1,Human-Human,closer_to_player2,1,0.8331305670518907
human_31e13002-490a-484d-a0f6-1781673d477a_player1,Human-Human,closer_to_player2,2,0.9999999999862887
human_31e13002-490a-484d-a0f6-1781673d477a_player1,Human-Human,closer_to_player2,3,0.9999999999999997
human_31e13002-490a-484d-a0f6-1781673d477a_player1,Human-Human,closer_to_player2,4,1.0
human_31e13002-490a-484d-a0f6-1781673d477a_player1,Human-Human,closer_to_player2,5,1.0
human_31e13002-490a-484d-a0f6-1781673d477a_player1,Human-Human,equal_to_both,0,0.5
human_31e13002-490a-484d-a0f6-1781673d477a_player1,Human-Human,equal_to_both,1,0.8074978962467192
human_31e13002-490a-484d-a0f6-1781673d477a_player1,Human-Human,equal_to_both,2,0.9342216287053232
human_31e13002-490a-484d-a0f6-1781673d477a_player1,Human-Human,equal_to_both,3,0.9649005955159408
human_31e13002-490a-484d-a0f6-1781673d477a_player1,Human-Human,equal_to_both,4,0.9892557193366378
human_31e13002-490a-484d-a0f6-1781673d477a_player1,Human-Human,equal_to_both,5,0.9999663225993152
human_31e13002-490a-484d-a0f6-1781673d477a_player2,Human-Human,closer_to_player1,0,0.5
human_31e13002-490a-484d-a0f6-1781673d477a_player2,Human-Human,closer_to_player1,1,0.9999960864970585
human_31e13002-490a-484d-a0f6-1781673d477a_player2,Human-Human,closer_to_player1,2,0.9999999999121916
human_31e13002-490a-484d-a0f6-1781673d477a_player2,Human-Human,closer_to_player1,3,0.9999999999999942
human_31e13002-490a-484d-a0f6-1781673d477a_player2,Human-Human,closer_to_player1,4,1.0
human_31e13002-490a-484d-a0f6-1781673d477a_player2,Human-Human,closer_to_player1,5,1.0
human_31e13002-490a-484d-a0f6-1781673d477a_player2,Human-Human,closer_to_player2,0,0.5
human_31e13002-490a-484d-a0f6-1781673d477a_player2,Human-Human,closer_to_player2,1,0.8331305670518907
