lambda,p_signal,alpha,commitment_nll,signaling_nll,binomial_nll,sim_commitment_human_weighted_average,sim_signaling_human_weighted_average,sim_commitment_equal_to_both,sim_signaling_equal_to_both,raw_trials,sim_closer_to_player1_commitment,sim_closer_to_player1_signalingMove,human_closer_to_player1_commitment,human_closer_to_player1_signalingMove,sim_equal_to_both_commitment,sim_equal_to_both_signalingMove,human_equal_to_both_commitment,human_equal_to_both_signalingMove,sim_closer_to_player2_commitment,sim_closer_to_player2_signalingMove,human_closer_to_player2_commitment,human_closer_to_player2_signalingMove,average_success_percent,average_efficiency_percent,average_commitment_percent,average_signaling_percent,equal_success_percent,equal_efficiency_percent,equal_commitment_percent,equal_signaling_percent,fit_stage
0.0,0.0,0.0,275.4781762525426,205.2937933592753,480.7719696118179,0.274452269170579,0.3083778002926939,0.25555555555555554,0.3238095238095238,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/posterior_only_lambda_p_fit/posterior_only_signal_vs_posterior_only_signal_2p3g_raw_trials_beta_3_lambda_0_alpha_0_sessions_0_to_29.json.zst,0.3277777777777778,0.28,0.5520833333333334,0.5060240963855421,0.25555555555555554,0.3238095238095238,0.8404255319148937,0.5851063829787234,0.2388888888888889,0.3191489361702128,0.5638297872340425,0.4523809523809524,24.72222222222222,49.61117229158675,16.40079365079365,32.06944444444444,38.88888888888889,62.294661112100016,8.045977011494251,31.25,coarse
0.0,0.1,0.1,302.55890855496966,199.6681032056789,502.22701176064857,0.2596244131455399,0.33316812541741364,0.16111111111111112,0.44954128440366975,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/posterior_only_lambda_p_fit/posterior_only_signal_vs_posterior_only_signal_2p3g_raw_trials_beta_3_lambda_0_alpha_0p1_sessions_0_to_29.json.zst,0.3111111111111111,0.275,0.5520833333333334,0.5060240963855421,0.16111111111111112,0.44954128440366975,0.8404255319148937,0.5851063829787234,0.3055555555555556,0.2604166666666667,0.5638297872340425,0.4523809523809524,27.500000000000004,49.11613855940572,17.136243386243383,35.29960317460317,51.11111111111111,53.56412782143828,4.166666666666666,44.94047619047619,coarse
0.0,0.25,0.25,283.38431915385854,220.3652856431289,503.74960479698746,0.2687010954616588,0.2788543887935369,0.21666666666666667,0.4,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/posterior_only_lambda_p_fit/posterior_only_signal_vs_posterior_only_signal_2p3g_raw_trials_beta_3_lambda_0_alpha_0p25_sessions_0_to_29.json.zst,0.29444444444444445,0.29411764705882354,0.5520833333333334,0.5060240963855421,0.21666666666666667,0.4,0.8404255319148937,0.5851063829787234,0.29444444444444445,0.1282051282051282,0.5638297872340425,0.4523809523809524,23.88888888888889,45.02252617469695,17.304894179894177,29.60119047619047,40.0,51.82617708065867,5.833333333333333,39.19753086419753,coarse
0.0,0.375,0.375,315.7432463528629,197.91797655793354,513.6612229107965,0.23532863849765256,0.33545811534985553,0.15,0.41964285714285715,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/posterior_only_lambda_p_fit/posterior_only_signal_vs_posterior_only_signal_2p3g_raw_trials_beta_3_lambda_0_alpha_0p375_sessions_0_to_29.json.zst,0.25555555555555554,0.313953488372093,0.5520833333333334,0.5060240963855421,0.15,0.41964285714285715,0.8404255319148937,0.5851063829787234,0.3,0.2625,0.5638297872340425,0.4523809523809524,26.944444444444443,48.42634227668401,16.71362433862434,35.53769841269842,42.22222222222222,57.15677354478273,3.8888888888888884,41.36904761904761,coarse
0.0,0.5,0.5,309.8514648851355,239.3677987415877,549.2192636267232,0.2280516431924883,0.22590213293984218,0.17777777777777778,0.35964912280701755,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/posterior_only_lambda_p_fit/posterior_only_signal_vs_posterior_only_signal_2p3g_raw_trials_beta_3_lambda_0_alpha_0p5_sessions_0_to_29.json.zst,0.26666666666666666,0.14814814814814814,0.5520833333333334,0.5060240963855421,0.17777777777777778,0.35964912280701755,0.8404255319148937,0.5851063829787234,0.2388888888888889,0.15306122448979592,0.5638297872340425,0.4523809523809524,26.666666666666668,48.46019051057239,17.00198412698413,23.200396825396822,50.0,51.14984171080327,5.747126436781609,32.748538011695906,coarse
0.0,0.75,0.75,332.90244300726704,188.3379496175146,521.2403926247816,0.1983568075117371,0.3889632088026041,0.15,0.4666666666666667,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/posterior_only_lambda_p_fit/posterior_only_signal_vs_posterior_only_signal_2p3g_raw_trials_beta_3_lambda_0_alpha_0p75_sessions_0_to_29.json.zst,0.22777777777777777,0.38961038961038963,0.5520833333333334,0.5060240963855421,0.15,0.4666666666666667,0.8404255319148937,0.5851063829787234,0.21666666666666667,0.3013698630136986,0.5638297872340425,0.4523809523809524,23.88888888888889,39.03286569349108,13.470238095238097,40.67393058918483,47.77777777777778,39.43167852871434,4.62962962962963,44.75308641975309,coarse
0.0,1.0,1.0,457.6249168719422,217.72626131338552,675.3511781853277,0.11138497652582159,0.3219573267543234,0.05,0.5645161290322581,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/posterior_only_lambda_p_fit/posterior_only_signal_vs_posterior_only_signal_2p3g_raw_trials_beta_3_lambda_0_alpha_1_sessions_0_to_29.json.zst,0.15,0.23076923076923078,0.5520833333333334,0.5060240963855421,0.05,0.5645161290322581,0.8404255319148937,0.5851063829787234,0.13333333333333333,0.140625,0.5638297872340425,0.4523809523809524,4.166666666666666,27.72315556448138,10.670634920634921,34.29378531073446,10.0,30.52107775878191,0.0,53.333333333333336,coarse
0.05,0.0,0.0,237.08050764303243,209.54635576149883,446.62686340453126,0.4044209702660407,0.3035080517385418,0.29444444444444445,0.38392857142857145,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/posterior_only_lambda_p_fit/posterior_only_signal_vs_posterior_only_signal_2p3g_raw_trials_beta_3_lambda_0p05_alpha_0_sessions_0_to_29.json.zst,0.5055555555555555,0.2,0.5520833333333334,0.5060240963855421,0.29444444444444445,0.38392857142857145,0.8404255319148937,0.5851063829787234,0.4111111111111111,0.3157894736842105,0.5638297872340425,0.4523809523809524,68.05555555555556,53.686669249598296,33.974867724867714,29.527777777777775,72.22222222222221,64.35136134743877,17.777777777777775,37.35632183908045,coarse
0.05,0.1,0.1,236.7376764233095,208.0874258675707,444.8251022908802,0.37226134585289516,0.29607193827420375,0.31666666666666665,0.3508771929824561,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/posterior_only_lambda_p_fit/posterior_only_signal_vs_posterior_only_signal_2p3g_raw_trials_beta_3_lambda_0p05_alpha_0p1_sessions_0_to_29.json.zst,0.37777777777777777,0.31896551724137934,0.5520833333333334,0.5060240963855421,0.31666666666666665,0.3508771929824561,0.8404255319148937,0.5851063829787234,0.4222222222222222,0.21212121212121213,0.5638297872340425,0.4523809523809524,66.11111111111111,55.83640066314749,33.08730158730159,28.60912698412698,66.66666666666666,67.85683780251831,24.999999999999996,35.84905660377358,coarse
0.05,0.25,0.25,234.03131021707893,206.79692008398973,440.82823030106863,0.3647887323943662,0.3125583814784735,0.34444444444444444,0.4174757281553398,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/posterior_only_lambda_p_fit/posterior_only_signal_vs_posterior_only_signal_2p3g_raw_trials_beta_3_lambda_0p05_alpha_0p25_sessions_0_to_29.json.zst,0.3611111111111111,0.208955223880597,0.5520833333333334,0.5060240963855421,0.34444444444444444,0.4174757281553398,0.8404255319148937,0.5851063829787234,0.3888888888888889,0.2975206611570248,0.5638297872340425,0.4523809523809524,71.11111111111111,50.625285164888524,32.182539682539684,31.295634920634917,72.22222222222221,58.04165894975499,24.42528735632184,41.36904761904762,coarse
