group,metric,mean_percent,ci95_percent,n
"samplePosteriorOnlyGoalAndSignal_fromStart
(lambda=0.325, p=0.5625)",Success Rate (%),82.77777777777777,3.905802895936662,360
"samplePosteriorOnlyGoalAndSignal_fromStart
(lambda=0.325, p=0.5625)",Coordination Efficiency (%),88.21456033656663,1.3850610283420406,60
"samplePosteriorOnlyGoalAndSignal_fromStart
(lambda=0.325, p=0.5625)",Commitment (%),70.83333333333331,4.334910661468117,60
"samplePosteriorOnlyGoalAndSignal_fromStart
(lambda=0.325, p=0.5625)",Signaling Move (%),46.70304232804233,3.85182374463102,60
Human-Human,Success Rate (%),100.0,0.0,189
Human-Human,Coordination Efficiency (%),81.57604663510541,3.0088168401228863,32
Human-Human,Commitment (%),64.97395833333334,10.970724409578962,32
Human-Human,Signaling Move (%),52.5297619047619,7.596550149484699,32
