key,label,lambda,alpha,commitment_nll,signaling_nll,binomial_nll,sim_commitment_human_weighted_average,sim_signaling_human_weighted_average,raw_source,raw_trials
full,"Full shared-agency
(lambda=0.65, alpha=4.25)",0.65,4.25,176.9008653977823,184.85253936132912,361.7534047591114,0.694170579029734,0.425488731775389,reused current full-model best raw,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_rsa_unshaped_jointrl_lambda_alpha_fit/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p65_alpha_4p25_sessions_0_to_29.json.zst
no_rsa_signaling,"No RSA signaling
(lambda=0.65, alpha=0)",0.65,0.0,216.47247552715515,189.70356342567598,406.17603895283116,0.8647104851330203,0.38159142606367674,rerun ablation raw,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_rsa_unshaped_jointrl_ablation/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p65_alpha_0_sessions_0_to_29.json.zst
no_posterior_weighting,"No posterior weighting
(lambda=0, alpha=4.25)",0.0,4.25,268.8151987005054,201.17841730429836,469.99361600480376,0.41596244131455395,0.34018700200869867,rerun ablation raw,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_rsa_unshaped_jointrl_ablation/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0_alpha_4p25_sessions_0_to_29.json.zst
value_base_only,"Value/base only
(lambda=0, alpha=0)",0.0,0.0,223.50483536577877,197.97897338457645,421.48380875035525,0.6470657276995304,0.3357259009497207,rerun ablation raw,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_rsa_unshaped_jointrl_ablation/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0_alpha_0_sessions_0_to_29.json.zst
