lambda,alpha,commitment_nll,signaling_nll,binomial_nll,sim_commitment_human_weighted_average,sim_signaling_human_weighted_average,sim_commitment_equal_to_both,sim_signaling_equal_to_both,raw_trials,sim_closer_to_player1_commitment,sim_closer_to_player1_signalingMove,human_closer_to_player1_commitment,human_closer_to_player1_signalingMove,sim_equal_to_both_commitment,sim_equal_to_both_signalingMove,human_equal_to_both_commitment,human_equal_to_both_signalingMove,sim_closer_to_player2_commitment,sim_closer_to_player2_signalingMove,human_closer_to_player2_commitment,human_closer_to_player2_signalingMove,average_success_percent,average_efficiency_percent,average_commitment_percent,average_signaling_percent,equal_success_percent,equal_efficiency_percent,equal_commitment_percent,equal_signaling_percent,fit_stage
0.0,0.0,205.66568314473415,214.87807236493023,420.5437555096644,0.49291862284820026,0.2789397980438099,0.43333333333333335,0.3805970149253731,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_rsa_unshaped_jointrl_lambda_alpha_fit/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0_alpha_0_sessions_0_to_29.json.zst,0.5388888888888889,0.2037037037037037,0.5520833333333334,0.5060240963855421,0.43333333333333335,0.3805970149253731,0.8404255319148937,0.5851063829787234,0.5055555555555555,0.23952095808383234,0.5638297872340425,0.4523809523809524,88.05555555555556,77.9306851715346,46.71296296296295,26.65145502645502,96.66666666666667,87.52699550813941,38.05555555555555,37.77777777777777,coarse
0.0,0.5,228.74519007698586,193.71445465940457,422.45964473639043,0.3926056338028169,0.3625265388435887,0.34444444444444444,0.47692307692307695,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_rsa_unshaped_jointrl_lambda_alpha_fit/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0_alpha_0p5_sessions_0_to_29.json.zst,0.39444444444444443,0.29375,0.5520833333333334,0.5060240963855421,0.34444444444444444,0.47692307692307695,0.8404255319148937,0.5851063829787234,0.4388888888888889,0.30246913580246915,0.5638297872340425,0.4523809523809524,83.61111111111111,74.41028043961023,34.42724867724867,34.65740740740741,93.33333333333333,84.1698136527236,23.888888888888886,47.41379310344828,coarse
0.0,1.0,231.95629940140122,194.31981199544595,426.27611139684717,0.3835680751173709,0.36053096830072684,0.3333333333333333,0.48484848484848486,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_rsa_unshaped_jointrl_lambda_alpha_fit/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0_alpha_1_sessions_0_to_29.json.zst,0.4166666666666667,0.2962962962962963,0.5520833333333334,0.5060240963855421,0.3333333333333333,0.48484848484848486,0.8404255319148937,0.5851063829787234,0.4,0.28488372093023256,0.5638297872340425,0.4523809523809524,83.88888888888889,71.64406600127526,34.156746031746025,34.179894179894184,91.11111111111111,82.03276903247512,22.77777777777778,48.61111111111111,coarse
0.0,2.0,245.26147041612424,194.95419322811648,440.21566364424075,0.34111893583724573,0.3781780091073615,0.3111111111111111,0.5461538461538461,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_rsa_unshaped_jointrl_lambda_alpha_fit/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0_alpha_2_sessions_0_to_29.json.zst,0.39444444444444443,0.25595238095238093,0.5520833333333334,0.5060240963855421,0.3111111111111111,0.5461538461538461,0.8404255319148937,0.5851063829787234,0.31666666666666665,0.31097560975609756,0.5638297872340425,0.4523809523809524,85.55555555555556,73.41450381631674,29.93650793650794,34.68849206349206,92.22222222222223,83.98541364322823,19.166666666666668,52.22222222222223,coarse
0.0,3.0,235.94814284516642,193.47505672761298,429.42319957277937,0.36682316118935837,0.3813358676304322,0.3277777777777778,0.5084745762711864,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_rsa_unshaped_jointrl_lambda_alpha_fit/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0_alpha_3_sessions_0_to_29.json.zst,0.3888888888888889,0.2564102564102564,0.5520833333333334,0.5060240963855421,0.3277777777777778,0.5084745762711864,0.8404255319148937,0.5851063829787234,0.38333333333333336,0.3625,0.5638297872340425,0.4523809523809524,84.44444444444444,74.02177165546684,32.276455026455025,35.404761904761905,90.0,82.81561853401475,24.137931034482758,50.0,coarse
0.0,5.0,232.62056456771347,195.39609125687636,428.01665582458986,0.36474960876369333,0.3771765243936037,0.35555555555555557,0.5446428571428571,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_rsa_unshaped_jointrl_lambda_alpha_fit/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0_alpha_5_sessions_0_to_29.json.zst,0.35555555555555557,0.25,0.5520833333333334,0.5060240963855421,0.35555555555555557,0.5446428571428571,0.8404255319148937,0.5851063829787234,0.38333333333333336,0.31543624161073824,0.5638297872340425,0.4523809523809524,84.16666666666667,71.1980481228584,30.777777777777775,34.913359788359784,92.22222222222223,80.53215054604003,22.22222222222222,52.77777777777777,coarse
0.0,8.0,226.52901030433168,191.83491339995703,418.3639237042887,0.3681533646322379,0.37799959669288163,0.4111111111111111,0.5,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_rsa_unshaped_jointrl_lambda_alpha_fit/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0_alpha_8_sessions_0_to_29.json.zst,0.31666666666666665,0.2894736842105263,0.5520833333333334,0.5060240963855421,0.4111111111111111,0.5,0.8404255319148937,0.5851063829787234,0.37777777777777777,0.32894736842105265,0.5638297872340425,0.4523809523809524,83.33333333333334,70.89402025154581,31.873015873015863,35.6494708994709,91.11111111111111,81.0531642414713,32.44047619047619,50.595238095238095,coarse
0.05,0.0,188.34509735289706,201.22117010476492,389.566267457662,0.6071596244131455,0.3224686166401894,0.5833333333333334,0.41333333333333333,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_rsa_unshaped_jointrl_lambda_alpha_fit/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p05_alpha_0_sessions_0_to_29.json.zst,0.5722222222222222,0.27439024390243905,0.5520833333333334,0.5060240963855421,0.5833333333333334,0.41333333333333333,0.8404255319148937,0.5851063829787234,0.6666666666666666,0.2682926829268293,0.5638297872340425,0.4523809523809524,89.16666666666667,82.67265298748383,59.42460317460318,32.007275132275126,100.0,91.10930730877617,58.6111111111111,43.33333333333333,coarse
0.05,0.5,206.68012382009078,192.1930541918087,398.8731780118995,0.4574726134585289,0.3752473446820893,0.4444444444444444,0.5,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_rsa_unshaped_jointrl_lambda_alpha_fit/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p05_alpha_0p5_sessions_0_to_29.json.zst,0.4666666666666667,0.2911392405063291,0.5520833333333334,0.5060240963855421,0.4444444444444444,0.5,0.8404255319148937,0.5851063829787234,0.46111111111111114,0.31875,0.5638297872340425,0.4523809523809524,88.05555555555556,78.33981242205071,41.46494708994709,36.68981481481481,96.66666666666667,87.15893863993577,37.06896551724138,50.86206896551724,coarse
0.05,1.0,199.6932749882884,185.70456933633312,385.39784432462153,0.4723004694835681,0.4131315091667432,0.5,0.5208333333333334,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_rsa_unshaped_jointrl_lambda_alpha_fit/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p05_alpha_1_sessions_0_to_29.json.zst,0.48333333333333334,0.35802469135802467,0.5520833333333334,0.5060240963855421,0.5,0.5208333333333334,0.8404255319148937,0.5851063829787234,0.43333333333333335,0.34705882352941175,0.5638297872340425,0.4523809523809524,88.05555555555556,77.92953745312587,45.44973544973546,40.482804232804234,94.44444444444444,86.87101618258093,48.333333333333336,52.77777777777778,coarse
0.05,2.0,200.03743698306346,188.6825937325179,388.72003071558134,0.47374804381846636,0.40434715103150115,0.49444444444444446,0.5378787878787878,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_rsa_unshaped_jointrl_lambda_alpha_fit/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p05_alpha_2_sessions_0_to_29.json.zst,0.42777777777777776,0.30303030303030304,0.5520833333333334,0.5060240963855421,0.49444444444444446,0.5378787878787878,0.8404255319148937,0.5851063829787234,0.5,0.35502958579881655,0.5638297872340425,0.4523809523809524,90.0,77.7441570663021,46.739417989417994,38.79960317460318,95.55555555555556,86.77427944683974,46.666666666666664,54.16666666666667,coarse
0.05,3.0,218.2855680089542,192.71029887608782,410.995866885042,0.43368544600938963,0.3973487941640808,0.37777777777777777,0.5538461538461539,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_rsa_unshaped_jointrl_lambda_alpha_fit/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p05_alpha_3_sessions_0_to_29.json.zst,0.48333333333333334,0.25477707006369427,0.5520833333333334,0.5060240963855421,0.37777777777777777,0.5538461538461539,0.8404255319148937,0.5851063829787234,0.4388888888888889,0.3630952380952381,0.5638297872340425,0.4523809523809524,87.5,76.91334809150051,41.71759259259259,37.625,94.44444444444444,89.41627618720167,31.60919540229885,55.172413793103445,coarse
0.05,5.0,212.933181324089,185.08517123624546,398.01835256033445,0.43364632237871675,0.4378434097984998,0.4222222222222222,0.5819672131147541,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_rsa_unshaped_jointrl_lambda_alpha_fit/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p05_alpha_5_sessions_0_to_29.json.zst,0.4777777777777778,0.33974358974358976,0.5520833333333334,0.5060240963855421,0.4222222222222222,0.5819672131147541,0.8404255319148937,0.5851063829787234,0.4,0.37349397590361444,0.5638297872340425,0.4523809523809524,88.88888888888889,76.99137580836687,41.636904761904766,42.160714285714285,94.44444444444444,86.80256584592638,37.93103448275862,59.19540229885057,coarse
0.05,8.0,201.59004544183028,184.58798451437963,386.1780299562099,0.44800469483568073,0.42922958556660573,0.5166666666666667,0.5535714285714286,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_rsa_unshaped_jointrl_lambda_alpha_fit/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p05_alpha_8_sessions_0_to_29.json.zst,0.42777777777777776,0.36,0.5520833333333334,0.5060240963855421,0.5166666666666667,0.5535714285714286,0.8404255319148937,0.5851063829787234,0.4,0.3584905660377358,0.5638297872340425,0.4523809523809524,89.16666666666667,76.14367540278694,42.58465608465609,41.457671957671955,98.88888888888889,86.06658996264125,47.41379310344828,56.32183908045977,coarse
0.1,0.0,173.9502432371462,200.25169826148328,374.2019414986295,0.6698356807511736,0.3331884649220025,0.7833333333333333,0.4492753623188406,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_rsa_unshaped_jointrl_lambda_alpha_fit/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p1_alpha_0_sessions_0_to_29.json.zst,0.5944444444444444,0.25316455696202533,0.5520833333333334,0.5060240963855421,0.7833333333333333,0.4492753623188406,0.8404255319148937,0.5851063829787234,0.6333333333333333,0.2823529411764706,0.5638297872340425,0.4523809523809524,86.11111111111111,85.14792836623056,66.88161375661376,32.41732804232804,97.77777777777777,93.58948443078344,79.72222222222223,45.55555555555556,coarse
0.1,0.25,174.39362343637237,191.77101166508382,366.16463510145616,0.6608372456964007,0.3970113248321794,0.7666666666666667,0.5633802816901409,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_rsa_unshaped_jointrl_lambda_alpha_fit/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p1_alpha_0p25_sessions_0_to_29.json.zst,0.6222222222222222,0.275,0.5520833333333334,0.5060240963855421,0.7666666666666667,0.5633802816901409,0.8404255319148937,0.5851063829787234,0.5944444444444444,0.3313953488372093,0.5638297872340425,0.4523809523809524,93.05555555555556,89.23836162918504,66.25462962962963,38.422619047619044,100.0,97.24318736818736,78.88888888888889,58.055555555555536,refine
