group,metric,mean_percent,ci95_percent,n
"sampleJointGoalAndRSASignal_fromStart
(lambda=0.15, alpha=0.5)",Success Rate (%),91.94444444444444,2.8152653955829767,360
"sampleJointGoalAndRSASignal_fromStart
(lambda=0.15, alpha=0.5)",Coordination Efficiency (%),85.6614856412139,1.3468096827164142,60
"sampleJointGoalAndRSASignal_fromStart
(lambda=0.15, alpha=0.5)",Commitment (%),67.68386243386243,4.48084816020624,60
"sampleJointGoalAndRSASignal_fromStart
(lambda=0.15, alpha=0.5)",Signaling Move (%),39.9589947089947,4.691918589074168,60
Human-Human,Success Rate (%),100.0,0.0,189
Human-Human,Coordination Efficiency (%),81.57604663510541,3.0088168401228863,32
Human-Human,Commitment (%),64.97395833333334,10.970724409578962,32
Human-Human,Signaling Move (%),52.5297619047619,7.596550149484699,32
