participantID,experiment_category,rlAgentType,n_trials,commitment_rate
5422ae1afdf99b328c91b203,1P2G,individual,12,0.5833333333333334
5422ae1afdf99b328c91b203,2P3G,individual,12,0.6666666666666666
545d347afdf99b7f9fca22c7,1P2G,joint,12,0.4166666666666667
545d347afdf99b7f9fca22c7,2P3G,joint,12,0.75
558996f2fdf99b7ae47f5ed2,1P2G,joint,12,0.9166666666666666
558996f2fdf99b7ae47f5ed2,2P3G,joint,12,0.75
558c2205fdf99b5d984bbb15,1P2G,individual,12,0.6666666666666666
558c2205fdf99b5d984bbb15,2P3G,individual,12,0.6666666666666666
5623f187ed6e5a0011c81083,1P2G,joint,12,0.75
5623f187ed6e5a0011c81083,2P3G,joint,12,1.0
57655a2aea19ef00016351cf,1P2G,joint,12,1.0
57655a2aea19ef00016351cf,2P3G,joint,12,0.8333333333333334
57d5ab3a722df500017f3622,1P2G,individual,12,0.8333333333333334
57d5ab3a722df500017f3622,2P3G,individual,12,0.5
5989b85ce684850001dfe29c,1P2G,joint,12,0.9166666666666666
5989b85ce684850001dfe29c,2P3G,joint,12,0.75
59f226a9d6380600018b2923,1P2G,joint,12,1.0
59f226a9d6380600018b2923,2P3G,joint,12,0.5833333333333334
5a4ff86beedc32000141f232,1P2G,joint,12,0.8333333333333334
5a4ff86beedc32000141f232,2P3G,joint,12,0.8333333333333334
5b16e1a5457ace0001b40d46,1P2G,joint,12,1.0
5b16e1a5457ace0001b40d46,2P3G,joint,12,1.0
5b5a822e1ad8270001c4f28d,1P2G,individual,12,0.75
5b5a822e1ad8270001c4f28d,2P3G,individual,12,0.75
5beb492b5324b10001c26ae8,1P2G,individual,12,0.9166666666666666
5beb492b5324b10001c26ae8,2P3G,individual,12,0.5
5c1199258b095d00015cf0ec,1P2G,individual,12,0.8333333333333334
5c1199258b095d00015cf0ec,2P3G,individual,12,0.6666666666666666
5d2db62ac45885001abf9ce3,1P2G,individual,12,0.75
5d2db62ac45885001abf9ce3,2P3G,individual,12,0.75
5d684971f5868700184eab81,1P2G,joint,12,0.9166666666666666
5d684971f5868700184eab81,2P3G,joint,12,0.8333333333333334
5d7ff85ffec5620017b07c40,1P2G,joint,12,0.75
5d7ff85ffec5620017b07c40,2P3G,joint,12,0.8333333333333334
5dad4c34b3446a0015e3de93,1P2G,joint,12,0.8333333333333334
5dad4c34b3446a0015e3de93,2P3G,joint,12,0.8333333333333334
5dcc3ec7db13278d75c8622f,1P2G,individual,12,0.75
5dcc3ec7db13278d75c8622f,2P3G,individual,12,0.75
5e45a09c8155b00828c83d95,1P2G,joint,12,0.75
5e45a09c8155b00828c83d95,2P3G,joint,12,0.75
5eb29a3db97d6b0008d24a1a,1P2G,joint,12,0.5
5eb29a3db97d6b0008d24a1a,2P3G,joint,12,0.6666666666666666
5f1088e27a43fe0c64ca5814,1P2G,joint,12,0.8333333333333334
5f1088e27a43fe0c64ca5814,2P3G,joint,12,0.5833333333333334
5f147c831589684ed6fd4cb8,1P2G,individual,12,1.0
5f147c831589684ed6fd4cb8,2P3G,individual,12,0.6666666666666666
5f2b0ad7bc24294b9f032fbe,1P2G,individual,12,1.0
5f2b0ad7bc24294b9f032fbe,2P3G,individual,12,0.6666666666666666
5fc59271971cc91189a1bdf0,1P2G,individual,12,0.5833333333333334
5fc59271971cc91189a1bdf0,2P3G,individual,12,0.6666666666666666
5fc7694c36033201e9defeb7,1P2G,individual,12,0.75
5fc7694c36033201e9defeb7,2P3G,individual,12,0.5833333333333334
60b3950b9a1de417d37bb8d2,1P2G,joint,12,0.8333333333333334
60b3950b9a1de417d37bb8d2,2P3G,joint,12,0.6666666666666666
60d3a633b495ccd3987f1802,1P2G,individual,12,0.8333333333333334
60d3a633b495ccd3987f1802,2P3G,individual,12,0.75
60ddc62b071a009e0b0c2922,1P2G,joint,12,0.9166666666666666
60ddc62b071a009e0b0c2922,2P3G,joint,12,0.9166666666666666
611830fe665c7b68723910b3,1P2G,joint,12,0.75
611830fe665c7b68723910b3,2P3G,joint,12,0.6666666666666666
62682277645054f5802459b8,1P2G,individual,12,0.75
62682277645054f5802459b8,2P3G,individual,12,0.6666666666666666
62faba5f904642df812944fa,1P2G,joint,12,1.0
62faba5f904642df812944fa,2P3G,joint,12,0.75
62fd14d7b1e0729dc8aadb79,1P2G,joint,12,0.9166666666666666
62fd14d7b1e0729dc8aadb79,2P3G,joint,11,0.8181818181818182
636bd30e14a5a0787697f56b,1P2G,individual,12,0.6666666666666666
636bd30e14a5a0787697f56b,2P3G,individual,12,0.6666666666666666
63d79fcd741f9cfb2f87152f,1P2G,individual,12,0.9166666666666666
63d79fcd741f9cfb2f87152f,2P3G,individual,12,0.8333333333333334
651ac208f45cf1745c586ffc,1P2G,individual,12,0.9166666666666666
651ac208f45cf1745c586ffc,2P3G,individual,12,0.75
651ac88823e71c05dbc1ff63,1P2G,joint,12,0.5
651ac88823e71c05dbc1ff63,2P3G,joint,12,0.75
656000af0e4ff12b601488e1,1P2G,joint,12,0.75
656000af0e4ff12b601488e1,2P3G,joint,12,0.8333333333333334
66084cde8c8b94db6ce51ac9,1P2G,individual,12,0.75
66084cde8c8b94db6ce51ac9,2P3G,individual,12,0.8333333333333334
661770012a3c83b4bdaff645,1P2G,joint,12,1.0
661770012a3c83b4bdaff645,2P3G,joint,12,0.6666666666666666
662190146ef67bab626e48cb,1P2G,joint,12,0.75
662190146ef67bab626e48cb,2P3G,joint,12,0.75
662e66138060bf4a9db8c159,1P2G,individual,12,1.0
662e66138060bf4a9db8c159,2P3G,individual,12,0.6666666666666666
664a5be05bc29332beb2fced,1P2G,individual,12,1.0
664a5be05bc29332beb2fced,2P3G,individual,12,0.6666666666666666
665adfcc9f26520c4307e228,1P2G,individual,12,0.75
665adfcc9f26520c4307e228,2P3G,individual,12,0.6666666666666666
665b1c70895ff62a86e1483e,1P2G,individual,12,1.0
665b1c70895ff62a86e1483e,2P3G,individual,12,0.5833333333333334
66620c24b9b110fb26375821,1P2G,individual,11,0.45454545454545453
66620c24b9b110fb26375821,2P3G,individual,12,0.5833333333333334
66854ca22a0b1e7e87b469a4,1P2G,individual,12,0.8333333333333334
66854ca22a0b1e7e87b469a4,2P3G,individual,12,0.75
66929bbddece52b3d6569339,1P2G,individual,12,0.8333333333333334
66929bbddece52b3d6569339,2P3G,individual,10,0.8
66cb2e0bd2169db778550269,1P2G,individual,12,0.75
66cb2e0bd2169db778550269,2P3G,individual,12,0.75
66f2b62e0ed36bbf5a254874,1P2G,joint,12,0.9166666666666666
66f2b62e0ed36bbf5a254874,2P3G,joint,12,0.9166666666666666
6713bf9052400ecdc5f6acdb,1P2G,joint,12,0.75
6713bf9052400ecdc5f6acdb,2P3G,joint,12,0.8333333333333334
6713eeea64ca1fb59cbcbce4,1P2G,individual,12,0.6666666666666666
6713eeea64ca1fb59cbcbce4,2P3G,individual,12,0.5833333333333334
67606392711c56c57996d9c0,1P2G,individual,12,0.25
67606392711c56c57996d9c0,2P3G,individual,12,0.6666666666666666
6764697d9d4afb4e6bfe1c4e,1P2G,individual,12,1.0
6764697d9d4afb4e6bfe1c4e,2P3G,individual,11,0.7272727272727273
676cdf06a9a9208a2b1ed100,1P2G,individual,12,0.8333333333333334
676cdf06a9a9208a2b1ed100,2P3G,individual,12,0.6666666666666666
6772ed74a16a7086a77e5d6e,1P2G,joint,12,0.8333333333333334
6772ed74a16a7086a77e5d6e,2P3G,joint,12,1.0
677401d939f129f94d412a63,1P2G,joint,12,0.9166666666666666
677401d939f129f94d412a63,2P3G,joint,12,0.6666666666666666
6777a384c84a19ccaee79888,1P2G,joint,12,0.8333333333333334
6777a384c84a19ccaee79888,2P3G,joint,12,0.75
678ff81c8c6b56f93355e0bb,1P2G,joint,12,0.5
678ff81c8c6b56f93355e0bb,2P3G,joint,12,0.9166666666666666
67e282f63445e665072a9861,1P2G,joint,12,0.9166666666666666
67e282f63445e665072a9861,2P3G,joint,12,0.5833333333333334
