group,participantId,sessionIndex,trialIndex,playerIndex,distanceCondition,stepFromNewGoal,posterior,plotGroup
TwoStageSignalAgent_sigmoidThreshold,session_6_player2,6.0,7,2,closer_to_player2,1,0.4996984799885625,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_6_player2,6.0,7,2,closer_to_player2,2,0.9996540099592163,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_6_player2,6.0,7,2,closer_to_player2,3,0.9999997172564884,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_6_player2,6.0,7,2,closer_to_player2,4,0.9999997333002002,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_6_player2,6.0,7,2,closer_to_player2,5,0.9999999997023784,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_6_player1,6.0,8,1,equal_to_both,0,0.5,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_6_player1,6.0,8,1,equal_to_both,1,0.5000003208885595,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_6_player1,6.0,8,1,equal_to_both,2,0.49999239143854657,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_6_player1,6.0,8,1,equal_to_both,3,0.49989237795029,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_6_player1,6.0,8,1,equal_to_both,4,0.9996725559229799,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_6_player1,6.0,8,1,equal_to_both,5,0.9999997348689543,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_6_player2,6.0,8,2,equal_to_both,0,0.5,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_6_player2,6.0,8,2,equal_to_both,1,0.9966371843345189,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_6_player2,6.0,8,2,equal_to_both,2,0.999979174328701,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_6_player2,6.0,8,2,equal_to_both,3,0.9999794079541543,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_6_player2,6.0,8,2,equal_to_both,4,0.9999795781269001,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_6_player2,6.0,8,2,equal_to_both,5,0.9999802953726102,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_6_player1,6.0,9,1,closer_to_player1,0,0.5,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_6_player1,6.0,9,1,closer_to_player1,1,0.9998639166329444,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_6_player1,6.0,9,1,closer_to_player1,2,0.9999999674672891,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_6_player1,6.0,9,1,closer_to_player1,3,0.9999999999571122,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_6_player1,6.0,9,1,closer_to_player1,4,0.9999999999999635,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_6_player1,6.0,9,1,closer_to_player1,5,0.9999999999999999,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_6_player2,6.0,9,2,closer_to_player1,0,0.5,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_6_player2,6.0,9,2,closer_to_player1,1,0.5019507197680084,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_6_player2,6.0,9,2,closer_to_player1,2,0.49724855674989976,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_6_player2,6.0,9,2,closer_to_player1,3,0.9975713563861464,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_6_player2,6.0,9,2,closer_to_player1,4,0.9962917959793066,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_6_player2,6.0,9,2,closer_to_player1,5,0.9999937478224858,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_6_player1,6.0,11,1,closer_to_player2,0,0.5,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_6_player1,6.0,11,1,closer_to_player2,1,0.9963828521416159,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_6_player1,6.0,11,1,closer_to_player2,2,0.9974307942130669,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_6_player1,6.0,11,1,closer_to_player2,3,0.9982613614380618,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_6_player1,6.0,11,1,closer_to_player2,4,0.9999926622088829,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_6_player1,6.0,11,1,closer_to_player2,5,0.9999979165512876,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_6_player2,6.0,11,2,closer_to_player2,0,0.5,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_6_player2,6.0,11,2,closer_to_player2,1,0.996650985713761,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_6_player2,6.0,11,2,closer_to_player2,2,0.9999794729136056,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_6_player2,6.0,11,2,closer_to_player2,3,0.9999997836373136,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_6_player2,6.0,11,2,closer_to_player2,4,0.9999999968367254,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_6_player2,6.0,11,2,closer_to_player2,5,0.9999999999177078,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player1,7.0,2,1,equal_to_both,0,0.5,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player1,7.0,2,1,equal_to_both,1,0.9828669665797526,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player1,7.0,2,1,equal_to_both,2,0.9995382619093095,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player1,7.0,2,1,equal_to_both,3,0.9999822558060394,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player1,7.0,2,1,equal_to_both,4,0.9999834840059681,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player1,7.0,2,1,equal_to_both,5,0.9999841174993617,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player2,7.0,2,2,equal_to_both,0,0.5,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player2,7.0,2,2,equal_to_both,1,0.9811855241934716,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player2,7.0,2,2,equal_to_both,2,0.9994521570017519,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player2,7.0,2,2,equal_to_both,3,0.9999774300978272,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player2,7.0,2,2,equal_to_both,4,0.9999832617490635,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player2,7.0,2,2,equal_to_both,5,0.999984799492303,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player1,7.0,3,1,closer_to_player2,0,0.5,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player1,7.0,3,1,closer_to_player2,1,0.9832133207086142,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player1,7.0,3,1,closer_to_player2,2,0.9836377524945316,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player1,7.0,3,1,closer_to_player2,3,0.983905791892463,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player1,7.0,3,1,closer_to_player2,4,0.98406752638687,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player1,7.0,3,1,closer_to_player2,5,0.9999010787938892,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player2,7.0,3,2,closer_to_player2,0,0.5,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player2,7.0,3,2,closer_to_player2,1,0.003298709771688082,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player2,7.0,3,2,closer_to_player2,2,0.003301936567945604,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player2,7.0,3,2,closer_to_player2,3,0.0045327754707754474,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player2,7.0,3,2,closer_to_player2,4,0.9917035408777628,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player2,7.0,3,2,closer_to_player2,5,0.9999991713382644,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player1,7.0,5,1,closer_to_player1,0,0.5,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player1,7.0,5,1,closer_to_player1,1,0.9983038568648478,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player1,7.0,5,1,closer_to_player1,2,0.9999975067545546,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player1,7.0,5,1,closer_to_player1,3,0.9999999947415005,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player2,7.0,5,2,closer_to_player1,0,0.5,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player2,7.0,5,2,closer_to_player1,1,0.36910941268542297,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player2,7.0,5,2,closer_to_player1,2,0.5245750848174363,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player2,7.0,5,2,closer_to_player1,3,0.6806225515851358,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player2,7.0,5,2,closer_to_player1,4,0.8093945131825665,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player2,7.0,5,2,closer_to_player1,5,0.9285056150491809,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player1,7.0,7,1,closer_to_player2,0,0.5,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player1,7.0,7,1,closer_to_player2,1,0.5034958277930387,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player1,7.0,7,1,closer_to_player2,2,0.5049739073481401,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player1,7.0,7,1,closer_to_player2,3,0.5069839276703605,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player1,7.0,7,1,closer_to_player2,4,0.5170082436296499,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player1,7.0,7,1,closer_to_player2,5,0.43517959279461915,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player2,7.0,7,2,closer_to_player2,0,0.5,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player2,7.0,7,2,closer_to_player2,1,0.5719260309789213,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player2,7.0,7,2,closer_to_player2,2,0.6616736490551087,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player2,7.0,7,2,closer_to_player2,3,0.9861393973061834,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player2,7.0,7,2,closer_to_player2,4,0.9904894270984648,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player2,7.0,7,2,closer_to_player2,5,0.9947177382238921,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player1,7.0,8,1,equal_to_both,0,0.5,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player1,7.0,8,1,equal_to_both,1,0.006145823353046382,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player1,7.0,8,1,equal_to_both,2,0.006101596006190335,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player1,7.0,8,1,equal_to_both,3,0.006074187250497712,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player1,7.0,8,1,equal_to_both,4,0.8845425293368038,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player1,7.0,8,1,equal_to_both,5,0.8845392900021743,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player2,7.0,8,2,equal_to_both,0,0.5,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player2,7.0,8,2,equal_to_both,1,0.9937635351582704,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player2,7.0,8,2,equal_to_both,2,0.9938603441112864,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player2,7.0,8,2,equal_to_both,3,0.9999618716321222,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player2,7.0,8,2,equal_to_both,4,0.9999622996417636,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player2,7.0,8,2,equal_to_both,5,0.9999626112468584,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player1,7.0,9,1,closer_to_player1,0,0.5,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player1,7.0,9,1,closer_to_player1,1,0.9995486742135054,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player1,7.0,9,1,closer_to_player1,2,0.9999995138769099,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player1,7.0,9,1,closer_to_player1,3,0.9999999987721953,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player1,7.0,9,1,closer_to_player1,4,0.9999999999957424,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player1,7.0,9,1,closer_to_player1,5,0.9999999999999726,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player2,7.0,9,2,closer_to_player1,0,0.5,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player2,7.0,9,2,closer_to_player1,1,0.502982346273135,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player2,7.0,9,2,closer_to_player1,2,0.989997230546011,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player2,7.0,9,2,closer_to_player1,3,0.9899199060134324,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player2,7.0,9,2,closer_to_player1,4,0.9999231347441858,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player2,7.0,9,2,closer_to_player1,5,0.9999990320749078,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player1,7.0,10,1,closer_to_player2,0,0.5,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player1,7.0,10,1,closer_to_player2,1,0.989562293462643,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player1,7.0,10,1,closer_to_player2,2,0.9897254419413347,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player1,7.0,10,1,closer_to_player2,3,0.999892261138128,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player1,7.0,10,1,closer_to_player2,4,0.999998180997764,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player1,7.0,10,1,closer_to_player2,5,0.9999999527110423,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player2,7.0,10,2,closer_to_player2,0,0.5,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player2,7.0,10,2,closer_to_player2,1,0.9997861457399692,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player2,7.0,10,2,closer_to_player2,2,0.9999996774626777,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player2,7.0,10,2,closer_to_player2,3,0.9999999996186618,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player2,7.0,10,2,closer_to_player2,4,0.9999999999993368,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player2,7.0,10,2,closer_to_player2,5,0.9999999999999977,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player1,7.0,11,1,closer_to_player1,0,0.5,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player1,7.0,11,1,closer_to_player1,1,0.9995197591310941,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player1,7.0,11,1,closer_to_player1,2,0.9999995956446478,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player1,7.0,11,1,closer_to_player1,3,0.9999997154708561,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player1,7.0,11,1,closer_to_player1,4,0.9999997961168307,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player1,7.0,11,1,closer_to_player1,5,0.9999998489792604,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player2,7.0,11,2,closer_to_player1,0,0.5,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player2,7.0,11,2,closer_to_player1,1,0.5033937480816962,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player2,7.0,11,2,closer_to_player1,2,0.5053441369330522,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player2,7.0,11,2,closer_to_player1,3,0.5006417955558438,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player2,7.0,11,2,closer_to_player1,4,0.5839050101185962,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_7_player2,7.0,11,2,closer_to_player1,5,0.47725464780797716,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_8_player1,8.0,0,1,equal_to_both,0,0.5,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_8_player1,8.0,0,1,equal_to_both,1,0.5000003248515852,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_8_player1,8.0,0,1,equal_to_both,2,0.9938488346004664,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_8_player1,8.0,0,1,equal_to_both,3,0.9938934689089123,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_8_player1,8.0,0,1,equal_to_both,4,0.9999620987162534,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_8_player1,8.0,0,1,equal_to_both,5,0.9999995992121654,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_8_player2,8.0,0,2,equal_to_both,0,0.5,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_8_player2,8.0,0,2,equal_to_both,1,0.4999819658163446,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_8_player2,8.0,0,2,equal_to_both,2,0.49998080322274313,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_8_player2,8.0,0,2,equal_to_both,3,0.4999799307601382,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_8_player2,8.0,0,2,equal_to_both,4,0.49997519910170535,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_8_player2,8.0,0,2,equal_to_both,5,0.49994261655484035,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_8_player1,8.0,1,1,closer_to_player1,0,0.5,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_8_player1,8.0,1,1,closer_to_player1,1,0.999540207856295,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_8_player1,8.0,1,1,closer_to_player1,2,0.9999994938665606,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_8_player1,8.0,1,1,closer_to_player1,3,0.9999999987692249,"TwoStageSignal
sigmoidThreshold"
TwoStageSignalAgent_sigmoidThreshold,session_8_player1,8.0,1,1,closer_to_player1,4,0.9999999999907578,"TwoStageSignal
sigmoidThreshold"
