model,lambda,alpha,n_params,actions,in_sample_nll,heldout_nll,heldout_nll_per_action,aic,bic,delta_heldout_nll
Shared agency commitment no signaling,0.3,0.0,1,254,170.11420277496978,179.45687021216614,0.7065231110715202,342.22840554993957,345.7657398169581,0.0
Shared agency commitment signaling,0.3,0.0,2,254,170.11420277496978,179.45687021216614,0.7065231110715202,344.22840554993957,351.30307408397664,0.0
Shared agency no commitment no signaling,0.0,0.0,0,254,220.54953496430286,220.54953496430272,0.8683052557649713,441.09906992860573,441.09906992860573,41.092664752136585
Joint RL,,,0,254,405.76092088920325,405.7609208892039,1.5974839405086767,811.5218417784065,811.5218417784065,226.30405067703774
Individual RL,,,0,254,1182.571366348132,1182.5713663481322,4.6557927808981585,2365.142732696264,2365.142732696264,1003.1144961359661
