fit_source,lambda,alpha,human_step_level_nll,raw_trials,average_success_percent,average_efficiency_percent,average_commitment_percent,average_signaling_percent,equal_success_percent,equal_efficiency_percent,equal_commitment_percent,equal_signaling_percent
trial-level commitment+signaling NLL,0.15,0.5,190.99051009086796,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/no_latent_joint_rl_shared_agency_baseline/shared_agency_commitment_signaling_joint_lambda_alpha_sweep/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p15_alpha_0p5_sessions_0_to_29.json.zst,91.94444444444444,85.6614856412139,67.68386243386243,39.9589947089947,97.77777777777777,95.60198654702633,77.77777777777779,51.388888888888886
step-1 human action NLL,0.3,0.0,170.11420277496978,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/shared_agency_step1_model_comparison/shared_agency_commitment_signaling/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p3_alpha_0_sessions_0_to_29.json.zst,92.5,89.27574522222338,78.81613756613758,34.82142857142858,100.0,98.75097364321502,95.97701149425288,43.678160919540225
