model,rho,lambda,n_params,actions,in_sample_nll,heldout_nll,heldout_nll_per_action,expected_signal_move,expected_btom_legibility,expected_value_safe_mass,aic,bic,delta_heldout_nll
"no signaling, lambda=.2",0.0,0.2,0,282,260.27267418654003,260.27267418653963,0.9229527453423392,0.7117353321659678,0.769835861428342,0.9923942334881004,520.5453483730801,520.5453483730801,0.0
value-safe tie-break signaling,0.0,0.2,1,282,260.27267418654003,260.27267418653963,0.9229527453423392,0.7117353321659678,0.769835861428342,0.9923942334881004,522.5453483730801,526.1872554440182,0.0
