model,rho,lambda,n_params,actions,in_sample_nll,heldout_nll,heldout_nll_per_action,expected_signal_move,expected_btom_legibility,expected_value_safe_mass,aic,bic,delta_heldout_nll
"no signaling, lambda=.2",0.0,0.2,0,688,437.4377522635165,437.43775226351704,0.6358106864295305,0.7429764933754364,0.881814832165695,0.9918090232519349,874.875504527033,874.875504527033,0.0
value-safe tie-break signaling,0.0,0.2,1,688,437.4377522635165,437.43775226351704,0.6358106864295305,0.7429764933754364,0.881814832165695,0.9918090232519349,876.875504527033,881.4092933649663,0.0
