fold,model,rho,lambda,n_params,train_negative_log_likelihood,test_negative_log_likelihood,train_actions,test_actions
0,"no signaling, lambda=.2",0.0,0.2,0,141.91552213253678,31.079895040782816,196,58
0,value-safe tie-break signaling,0.0,0.2,1,141.91552213253678,31.079895040782816,196,58
1,"no signaling, lambda=.2",0.0,0.2,0,121.01260036213627,51.98281681118321,202,52
1,value-safe tie-break signaling,0.0,0.2,1,121.01260036213627,51.98281681118321,202,52
2,"no signaling, lambda=.2",0.0,0.2,0,142.36013900631573,30.635278167003875,208,46
2,value-safe tie-break signaling,0.0,0.2,1,142.36013900631573,30.635278167003875,208,46
3,"no signaling, lambda=.2",0.0,0.2,0,145.47217897440734,27.523238198912242,202,52
3,value-safe tie-break signaling,0.0,0.2,1,145.47217897440734,27.523238198912242,202,52
4,"no signaling, lambda=.2",0.0,0.2,0,141.22122821788213,31.774188955437406,208,46
4,value-safe tie-break signaling,0.0,0.2,1,141.22122821788213,31.774188955437406,208,46
