model,rho,lambda,n_params,actions,in_sample_nll,heldout_nll,heldout_nll_per_action,expected_signal_move,expected_btom_legibility,expected_value_safe_mass,aic,bic,delta_heldout_nll
"no signaling, lambda=.2",0.0,0.2,0,254,172.99541717331968,172.99541717331957,0.6810843195799983,0.7342215611075029,0.8346094489116069,0.9924075805061855,345.99083434663936,345.99083434663936,0.0
value-safe tie-break signaling,0.0,0.2,1,254,172.99541717331968,172.99541717331957,0.6810843195799983,0.7342215611075029,0.8346094489116069,0.9924075805061855,347.99083434663936,351.5281686136579,0.0
