fit_source,lambda,rho,signal_window_step_level_nll,raw_trials,average_success_percent,average_efficiency_percent,average_commitment_percent,average_signaling_percent,equal_success_percent,equal_efficiency_percent,equal_commitment_percent,equal_signaling_percent
trial-level commitment+signaling binomial NLL,0.2,0.5,453.99034793714134,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/shared_agency_costly_mixture_rho_sweep/costly_mixture_rho_sweep/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p2_alpha_0p5_score_costly_mixture_sessions_0_to_29.json.zst,91.11111111111111,87.63551939035133,72.41732804232804,42.43716931216931,100.0,98.00744163244163,93.88888888888887,65.0
step-level new-goal steps 1-3 action NLL,0.2,0.1,436.44917471239285,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/shared_agency_costly_mixture_step_level_fit/step1_3_fit/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p2_alpha_0p1_score_costly_mixture_sessions_0_to_29.json.zst,93.05555555555556,88.1528453058682,78.23082010582011,38.379629629629626,100.0,98.16360455085945,95.27777777777777,56.666666666666664
