model,rho_max,lambda,alpha,n_params,actions,in_sample_nll,heldout_nll,heldout_nll_per_action,aic,bic,delta_heldout_nll
"no signaling, lambda=.2",0.0,0.2,1.0,0,254,172.99541717331968,172.99541717331957,0.6810843195799983,345.99083434663936,345.99083434663936,0.0
uncertainty-gated RSA,0.0,0.2,1.0,1,254,172.99541717331968,172.99541717331957,0.6810843195799983,347.99083434663936,351.5281686136579,0.0
constant RSA alpha=1,1.0,0.2,1.0,0,254,189.34986410333806,189.34986410333812,0.745471905918654,378.6997282066761,378.6997282066761,16.354446930018554
trial-level best lambda=.15 alpha=.5,,0.15,0.5,0,254,190.99051009086796,190.99051009086793,0.7519311420900312,381.9810201817359,381.9810201817359,17.995092917548362
