rho_max,lambda,alpha,negative_log_likelihood,fit_stage
0.0,0.2,1.0,172.99541717331968,coarse
0.0125,0.2,1.0,173.03682677829642,refine
0.025,0.2,1.0,173.0784176715473,refine
0.0375,0.2,1.0,173.1201900991589,refine
0.05,0.2,1.0,173.16214431839134,coarse
0.1,0.2,1.0,173.33178464790845,coarse
0.15,0.2,1.0,173.50435713207872,coarse
0.2,0.2,1.0,173.67988361511956,coarse
0.25,0.2,1.0,173.8583888378268,coarse
0.3,0.2,1.0,174.03990047193858,coarse
0.35,0.2,1.0,174.22444916643533,coarse
0.4,0.2,1.0,174.4120686060107,coarse
0.45,0.2,1.0,174.60279558207597,coarse
0.5,0.2,1.0,174.79667007676872,coarse
0.55,0.2,1.0,174.99373536057394,coarse
0.6,0.2,1.0,175.1940381042903,coarse
0.65,0.2,1.0,175.397628506229,coarse
0.7,0.2,1.0,175.6045604356918,coarse
0.75,0.2,1.0,175.8148915939536,coarse
0.8,0.2,1.0,176.02868369417558,coarse
0.85,0.2,1.0,176.2460026619031,coarse
0.9,0.2,1.0,176.4669188580597,coarse
0.95,0.2,1.0,176.69150732664286,coarse
1.0,0.2,1.0,176.91984806966502,coarse
