source_file,roomId,unique_partner_types,game_type,human_trial_percent
experiment_data_5efaf5d5540ce9953f995009_room_eb76ae37-255a-4cfa-a16b-78dc1b788aaa_2025-09-12T16-58-25-097Z.xlsx,eb76ae37-255a-4cfa-a16b-78dc1b788aaa,human,human,1.0
experiment_data_5f0a686635f72917e94c7a63_room_db2021d6-0a33-4478-a117-bf4fbec70cd4_2025-09-12T16-47-00-067Z.xlsx,db2021d6-0a33-4478-a117-bf4fbec70cd4,human,human,1.0
experiment_data_5f0f7fe1d7ad1c000b42d091_room_be42df1a-9711-44cc-a7f4-b6c6b6b59c7d_2025-09-13T18-12-35-846Z.xlsx,be42df1a-9711-44cc-a7f4-b6c6b6b59c7d,human,human,1.0
experiment_data_6016f0e16f7aec8af4152aa4_room_be42df1a-9711-44cc-a7f4-b6c6b6b59c7d_2025-09-13T18-13-10-140Z.xlsx,be42df1a-9711-44cc-a7f4-b6c6b6b59c7d,human,human,1.0
experiment_data_60bac4eb11e08e852fd030ab_room_9d17be6d-fd28-4858-bf25-10f159569d54_2025-09-12T16-47-00-018Z.xlsx,9d17be6d-fd28-4858-bf25-10f159569d54,human,human,1.0
experiment_data_6143af8721d1445864c4f6c8_room_1aa4a978-1316-4242-a21e-9772545006a7_2025-09-12T16-51-36-306Z.xlsx,1aa4a978-1316-4242-a21e-9772545006a7,human,human,1.0
experiment_data_62b628e4351d179f1ff6cc59_room_329a09b2-ad1f-4458-af0b-f7dd194297d1_2025-09-12T16-54-33-741Z.xlsx,329a09b2-ad1f-4458-af0b-f7dd194297d1,human,human,1.0
experiment_data_651b249337102ada9fee4951_room_9a6ddc72-01b2-432c-848d-7629f2ff5bd7_2025-09-12T16-43-42-103Z.xlsx,9a6ddc72-01b2-432c-848d-7629f2ff5bd7,human,human,1.0
experiment_data_65b537602cf1fbd4f77c7909_room_8048bfb7-aa2a-4c5f-b0c8-e2b4f0a19dc6_2025-09-13T18-12-18-752Z.xlsx,8048bfb7-aa2a-4c5f-b0c8-e2b4f0a19dc6,human,human,1.0
experiment_data_66338ea47f6b47399eb188ca_room_9d17be6d-fd28-4858-bf25-10f159569d54_2025-09-12T16-47-13-214Z.xlsx,9d17be6d-fd28-4858-bf25-10f159569d54,human,human,1.0
experiment_data_663a3ee80ab62f61353a10f0_room_eb76ae37-255a-4cfa-a16b-78dc1b788aaa_2025-09-12T16-53-32-389Z.xlsx,eb76ae37-255a-4cfa-a16b-78dc1b788aaa,human,human,1.0
experiment_data_663a8c84b8e7c046d854c8dd_room_e966ae9a-efbe-4448-94ba-022d109d13de_2025-09-13T18-17-35-596Z.xlsx,e966ae9a-efbe-4448-94ba-022d109d13de,human,human,1.0
experiment_data_6658c4239af9537eefdfbcc9_room_ef2939e7-74ac-4751-92d3-c94b68dbb9da_2025-09-13T18-15-27-119Z.xlsx,ef2939e7-74ac-4751-92d3-c94b68dbb9da,human,human,1.0
experiment_data_66b5172c8f0bd3b23ce66c22_room_5de6a11a-219d-4804-b614-ef42656f3066_2025-09-13T18-18-27-057Z.xlsx,5de6a11a-219d-4804-b614-ef42656f3066,human,human,1.0
