file_id,room_id,exp_types_present,partner_types,game_class
experiment_data_5723714684458100120292f6_room_329a09b2-ad1f-4458-af0b-f7dd194297d1_2025-09-12T16-56-07-217Z.xlsx,329a09b2-ad1f-4458-af0b-f7dd194297d1,"2P2G,2P3G",human,human-human
experiment_data_57dd3b0e91b7fc0001493db9_room_b5ed8553-19fc-43a4-ae35-6e256c500817_2025-09-12T17-25-40-624Z.xlsx,b5ed8553-19fc-43a4-ae35-6e256c500817,"2P2G,2P3G",gpt-4.1-mini,human-gpt
experiment_data_5b985404a15058000124e508_room_fa684eb1-e4c4-4905-96b7-15cf7b8a3f2d_2025-09-12T16-55-36-623Z.xlsx,fa684eb1-e4c4-4905-96b7-15cf7b8a3f2d,"2P2G,2P3G",human,human-human
experiment_data_5c0558b8553fb80001191980_room_aa6f51e0-a8a1-49f7-ba8a-a3f3bba2b5f5_2025-09-12T17-18-08-622Z.xlsx,aa6f51e0-a8a1-49f7-ba8a-a3f3bba2b5f5,"2P2G,2P3G",gpt-4.1-mini,human-gpt
experiment_data_5c06063cf7595100015c30f6_room_1aa4a978-1316-4242-a21e-9772545006a7_2025-09-12T16-52-24-665Z.xlsx,1aa4a978-1316-4242-a21e-9772545006a7,"2P2G,2P3G",human,human-human
experiment_data_5dc3552003f8562725a1b956_room_e55b3b94-4195-40a0-b088-223a8c4f1d88_2025-09-12T16-52-35-646Z.xlsx,e55b3b94-4195-40a0-b088-223a8c4f1d88,"2P2G,2P3G",gpt-4.1-mini,human-gpt
experiment_data_5efaf5d5540ce9953f995009_room_eb76ae37-255a-4cfa-a16b-78dc1b788aaa_2025-09-12T16-58-25-097Z.xlsx,eb76ae37-255a-4cfa-a16b-78dc1b788aaa,"2P2G,2P3G",human,human-human
experiment_data_5f0a686635f72917e94c7a63_room_db2021d6-0a33-4478-a117-bf4fbec70cd4_2025-09-12T16-47-00-067Z.xlsx,db2021d6-0a33-4478-a117-bf4fbec70cd4,"2P2G,2P3G",human,human-human
experiment_data_5f850c99d40bfe1f29078e69_room_49124e6f-79b4-4627-ab53-ba0f80c28c33_2025-09-12T16-48-48-296Z.xlsx,49124e6f-79b4-4627-ab53-ba0f80c28c33,"2P2G,2P3G","gpt-4.1-mini,human",mixed
experiment_data_607668ac450fc6e3025a131d_room_49124e6f-79b4-4627-ab53-ba0f80c28c33_2025-09-12T16-47-02-878Z.xlsx,49124e6f-79b4-4627-ab53-ba0f80c28c33,"2P2G,2P3G","gpt-4.1-mini,human",mixed
experiment_data_60bac4eb11e08e852fd030ab_room_9d17be6d-fd28-4858-bf25-10f159569d54_2025-09-12T16-47-00-018Z.xlsx,9d17be6d-fd28-4858-bf25-10f159569d54,"2P2G,2P3G",human,human-human
experiment_data_6143af8721d1445864c4f6c8_room_1aa4a978-1316-4242-a21e-9772545006a7_2025-09-12T16-51-36-306Z.xlsx,1aa4a978-1316-4242-a21e-9772545006a7,"2P2G,2P3G",human,human-human
experiment_data_6154c1748e0de2c3afdab62c_room_db2021d6-0a33-4478-a117-bf4fbec70cd4_2025-09-12T16-47-47-338Z.xlsx,db2021d6-0a33-4478-a117-bf4fbec70cd4,"2P2G,2P3G","gpt-4.1-mini,human",mixed
experiment_data_62b628e4351d179f1ff6cc59_room_329a09b2-ad1f-4458-af0b-f7dd194297d1_2025-09-12T16-54-33-741Z.xlsx,329a09b2-ad1f-4458-af0b-f7dd194297d1,"2P2G,2P3G",human,human-human
experiment_data_651b249337102ada9fee4951_room_9a6ddc72-01b2-432c-848d-7629f2ff5bd7_2025-09-12T16-43-42-103Z.xlsx,9a6ddc72-01b2-432c-848d-7629f2ff5bd7,"2P2G,2P3G",human,human-human
experiment_data_66338ea47f6b47399eb188ca_room_9d17be6d-fd28-4858-bf25-10f159569d54_2025-09-12T16-47-13-214Z.xlsx,9d17be6d-fd28-4858-bf25-10f159569d54,"2P2G,2P3G",human,human-human
experiment_data_663a3ee80ab62f61353a10f0_room_eb76ae37-255a-4cfa-a16b-78dc1b788aaa_2025-09-12T16-53-32-389Z.xlsx,eb76ae37-255a-4cfa-a16b-78dc1b788aaa,"2P2G,2P3G",human,human-human
experiment_data_6646cdbd7a8e4d39556e459b_room_3f333c71-69b9-47d2-afa2-a8cdd8a7a34f_2025-09-12T16-48-15-511Z.xlsx,3f333c71-69b9-47d2-afa2-a8cdd8a7a34f,"2P2G,2P3G",gpt-4.1-mini,human-gpt
experiment_data_66854df2e5fef4239ff63a7d_room_7e03a0e9-c26d-4eaa-aada-b9088e8981fe_2025-09-12T17-05-12-863Z.xlsx,7e03a0e9-c26d-4eaa-aada-b9088e8981fe,"2P2G,2P3G",gpt-4.1-mini,human-gpt
experiment_data_66bce38cdb7f3309e448dc8d_room_fc2813a7-4ebd-43fe-a958-ab321b8830f1_2025-09-12T16-43-58-749Z.xlsx,fc2813a7-4ebd-43fe-a958-ab321b8830f1,"2P2G,2P3G",human,human-human
experiment_data_66d0217be06f8783cc04f0a7_room_3058f602-8cd4-402d-96ff-5aa79525a18e_2025-09-12T16-47-43-178Z.xlsx,3058f602-8cd4-402d-96ff-5aa79525a18e,"2P2G,2P3G",human,human-human
experiment_data_670c3a0b29d34e1201670dd1_room_aa6f51e0-a8a1-49f7-ba8a-a3f3bba2b5f5_2025-09-12T17-12-01-255Z.xlsx,aa6f51e0-a8a1-49f7-ba8a-a3f3bba2b5f5,"2P2G,2P3G",gpt-4.1-mini,human-gpt
experiment_data_670d816961bebcb45b53b929_room_7a5db826-2ab9-4c4c-8578-c93df8f87b1d_2025-09-12T16-57-24-862Z.xlsx,7a5db826-2ab9-4c4c-8578-c93df8f87b1d,"2P2G,2P3G","gpt-4.1-mini,human",mixed
experiment_data_6731413b949994960fadc176_room_e55b3b94-4195-40a0-b088-223a8c4f1d88_2025-09-12T16-58-28-997Z.xlsx,e55b3b94-4195-40a0-b088-223a8c4f1d88,"2P2G,2P3G","gpt-4.1-mini,human",mixed
experiment_data_67364113bdafe2840fa05b69_room_fc2813a7-4ebd-43fe-a958-ab321b8830f1_2025-09-12T16-43-28-192Z.xlsx,fc2813a7-4ebd-43fe-a958-ab321b8830f1,"2P2G,2P3G",human,human-human
experiment_data_675c64b95d8683943d557b71_room_9a6ddc72-01b2-432c-848d-7629f2ff5bd7_2025-09-12T16-42-53-414Z.xlsx,9a6ddc72-01b2-432c-848d-7629f2ff5bd7,"2P2G,2P3G",human,human-human
experiment_data_678f0bb28ec3307e4f1afb78_room_fa684eb1-e4c4-4905-96b7-15cf7b8a3f2d_2025-09-12T16-54-35-519Z.xlsx,fa684eb1-e4c4-4905-96b7-15cf7b8a3f2d,"2P2G,2P3G",human,human-human
experiment_data_67d21364aa4dc87ecd8f3f1b_room_9891f74f-a030-43ed-b425-c8b99990e72d_2025-09-12T16-53-32-206Z.xlsx,9891f74f-a030-43ed-b425-c8b99990e72d,"2P2G,2P3G",gpt-4.1-mini,human-gpt
experiment_data_6824d53b2584274c9b13924e_room_7a5db826-2ab9-4c4c-8578-c93df8f87b1d_2025-09-12T16-56-18-996Z.xlsx,7a5db826-2ab9-4c4c-8578-c93df8f87b1d,"2P2G,2P3G","gpt-4.1-mini,human",mixed
