participantID,experimentType,experiment_category,game_class,player1FirstDetectedGoal,player1FinalReachedGoal,firstDetectedSharedGoal,commitment
5b985404a15058000124e508,1P2G,1P2G,,0.0,0,,1.0
5b985404a15058000124e508,1P2G,1P2G,,1.0,1,,1.0
5b985404a15058000124e508,1P2G,1P2G,,0.0,0,,1.0
5b985404a15058000124e508,1P2G,1P2G,,1.0,1,,1.0
5b985404a15058000124e508,1P2G,1P2G,,1.0,1,,1.0
5b985404a15058000124e508,1P2G,1P2G,,0.0,2,,0.0
5b985404a15058000124e508,1P2G,1P2G,,0.0,0,,1.0
5b985404a15058000124e508,1P2G,1P2G,,0.0,2,,0.0
5b985404a15058000124e508,1P2G,1P2G,,0.0,0,,1.0
5b985404a15058000124e508,1P2G,1P2G,,1.0,1,,1.0
5b985404a15058000124e508,1P2G,1P2G,,0.0,2,,0.0
5b985404a15058000124e508,1P2G,1P2G,,1.0,1,,1.0
66bce38cdb7f3309e448dc8d,1P2G,1P2G,,1.0,1,,1.0
66bce38cdb7f3309e448dc8d,1P2G,1P2G,,0.0,2,,0.0
66bce38cdb7f3309e448dc8d,1P2G,1P2G,,1.0,1,,1.0
66bce38cdb7f3309e448dc8d,1P2G,1P2G,,0.0,0,,1.0
66bce38cdb7f3309e448dc8d,1P2G,1P2G,,1.0,2,,0.0
66bce38cdb7f3309e448dc8d,1P2G,1P2G,,0.0,0,,1.0
66bce38cdb7f3309e448dc8d,1P2G,1P2G,,0.0,0,,1.0
66bce38cdb7f3309e448dc8d,1P2G,1P2G,,0.0,2,,0.0
66bce38cdb7f3309e448dc8d,1P2G,1P2G,,0.0,0,,1.0
66bce38cdb7f3309e448dc8d,1P2G,1P2G,,1.0,1,,1.0
66bce38cdb7f3309e448dc8d,1P2G,1P2G,,1.0,1,,1.0
66bce38cdb7f3309e448dc8d,1P2G,1P2G,,0.0,0,,1.0
5efaf5d5540ce9953f995009,1P2G,1P2G,,1.0,1,,1.0
5efaf5d5540ce9953f995009,1P2G,1P2G,,1.0,1,,1.0
5efaf5d5540ce9953f995009,1P2G,1P2G,,1.0,1,,1.0
5efaf5d5540ce9953f995009,1P2G,1P2G,,0.0,0,,1.0
5efaf5d5540ce9953f995009,1P2G,1P2G,,0.0,2,,0.0
5efaf5d5540ce9953f995009,1P2G,1P2G,,0.0,0,,1.0
5efaf5d5540ce9953f995009,1P2G,1P2G,,0.0,0,,1.0
5efaf5d5540ce9953f995009,1P2G,1P2G,,1.0,1,,1.0
5efaf5d5540ce9953f995009,1P2G,1P2G,,0.0,0,,1.0
5efaf5d5540ce9953f995009,1P2G,1P2G,,1.0,1,,1.0
5efaf5d5540ce9953f995009,1P2G,1P2G,,0.0,0,,1.0
5efaf5d5540ce9953f995009,1P2G,1P2G,,0.0,0,,1.0
675c64b95d8683943d557b71,1P2G,1P2G,,0.0,0,,1.0
675c64b95d8683943d557b71,1P2G,1P2G,,0.0,2,,0.0
675c64b95d8683943d557b71,1P2G,1P2G,,0.0,0,,1.0
675c64b95d8683943d557b71,1P2G,1P2G,,1.0,1,,1.0
675c64b95d8683943d557b71,1P2G,1P2G,,1.0,1,,1.0
675c64b95d8683943d557b71,1P2G,1P2G,,0.0,0,,1.0
675c64b95d8683943d557b71,1P2G,1P2G,,0.0,2,,0.0
675c64b95d8683943d557b71,1P2G,1P2G,,0.0,2,,0.0
675c64b95d8683943d557b71,1P2G,1P2G,,0.0,2,,0.0
675c64b95d8683943d557b71,1P2G,1P2G,,1.0,1,,1.0
675c64b95d8683943d557b71,1P2G,1P2G,,0.0,0,,1.0
675c64b95d8683943d557b71,1P2G,1P2G,,1.0,2,,0.0
6646cdbd7a8e4d39556e459b,1P2G,1P2G,,0.0,0,,1.0
6646cdbd7a8e4d39556e459b,1P2G,1P2G,,1.0,1,,1.0
6646cdbd7a8e4d39556e459b,1P2G,1P2G,,0.0,0,,1.0
6646cdbd7a8e4d39556e459b,1P2G,1P2G,,1.0,1,,1.0
6646cdbd7a8e4d39556e459b,1P2G,1P2G,,0.0,2,,0.0
6646cdbd7a8e4d39556e459b,1P2G,1P2G,,0.0,0,,1.0
6646cdbd7a8e4d39556e459b,1P2G,1P2G,,0.0,0,,1.0
6646cdbd7a8e4d39556e459b,1P2G,1P2G,,1.0,1,,1.0
6646cdbd7a8e4d39556e459b,1P2G,1P2G,,1.0,1,,1.0
6646cdbd7a8e4d39556e459b,1P2G,1P2G,,0.0,2,,0.0
6646cdbd7a8e4d39556e459b,1P2G,1P2G,,1.0,1,,1.0
6646cdbd7a8e4d39556e459b,1P2G,1P2G,,0.0,1,,0.0
651b249337102ada9fee4951,1P2G,1P2G,,1.0,1,,1.0
651b249337102ada9fee4951,1P2G,1P2G,,1.0,1,,1.0
651b249337102ada9fee4951,1P2G,1P2G,,1.0,1,,1.0
651b249337102ada9fee4951,1P2G,1P2G,,0.0,0,,1.0
651b249337102ada9fee4951,1P2G,1P2G,,1.0,1,,1.0
