lambda,p_signal,alpha,commitment_nll,signaling_nll,binomial_nll,sim_commitment_human_weighted_average,sim_signaling_human_weighted_average,sim_commitment_equal_to_both,sim_signaling_equal_to_both,raw_trials,sim_closer_to_player1_commitment,sim_closer_to_player1_signalingMove,human_closer_to_player1_commitment,human_closer_to_player1_signalingMove,sim_equal_to_both_commitment,sim_equal_to_both_signalingMove,human_equal_to_both_commitment,human_equal_to_both_signalingMove,sim_closer_to_player2_commitment,sim_closer_to_player2_signalingMove,human_closer_to_player2_commitment,human_closer_to_player2_signalingMove,average_success_percent,average_efficiency_percent,average_commitment_percent,average_signaling_percent,equal_success_percent,equal_efficiency_percent,equal_commitment_percent,equal_signaling_percent,fit_stage
0.0,0.0,0.0,190.3811139556253,197.19021874869236,387.5713327043177,0.5258607198748043,0.3454358843562509,0.55,0.46710526315789475,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_lambda_p_fit/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0_alpha_0_sessions_0_to_29.json.zst,0.5166666666666667,0.2857142857142857,0.5520833333333334,0.5060240963855421,0.55,0.46710526315789475,0.8404255319148937,0.5851063829787234,0.5111111111111111,0.2682926829268293,0.5638297872340425,0.4523809523809524,92.22222222222223,89.30010503402777,50.4563492063492,33.7797619047619,98.88888888888889,98.77192406359073,52.22222222222223,48.61111111111111,coarse
0.0,0.1,0.1,200.96632217709475,192.5146464941093,393.48096867120404,0.5150234741784037,0.37281872365845303,0.46111111111111114,0.4520547945205479,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_lambda_p_fit/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0_alpha_0p1_sessions_0_to_29.json.zst,0.5444444444444444,0.28662420382165604,0.5520833333333334,0.5060240963855421,0.46111111111111114,0.4520547945205479,0.8404255319148937,0.5851063829787234,0.5388888888888889,0.3693181818181818,0.5638297872340425,0.4523809523809524,94.44444444444444,89.9112230621334,50.22156084656084,36.636904761904766,98.88888888888889,98.58021417580241,41.66666666666667,45.55555555555556,coarse
0.0,0.25,0.25,194.45218042612203,192.48714828882697,386.939328714949,0.5354068857589984,0.3631284009500387,0.5111111111111111,0.4411764705882353,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_lambda_p_fit/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0_alpha_0p25_sessions_0_to_29.json.zst,0.5666666666666667,0.3202247191011236,0.5520833333333334,0.5060240963855421,0.5111111111111111,0.4411764705882353,0.8404255319148937,0.5851063829787234,0.5277777777777778,0.3181818181818182,0.5638297872340425,0.4523809523809524,88.88888888888889,88.98576967046854,53.382936507936506,34.91071428571429,100.0,97.96282983537886,53.333333333333336,44.72222222222222,coarse
0.0,0.375,0.375,211.35387459823357,190.23754930579304,401.5914239040266,0.46897496087636936,0.39813862279760287,0.40555555555555556,0.5603448275862069,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_lambda_p_fit/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0_alpha_0p375_sessions_0_to_29.json.zst,0.5333333333333333,0.3103448275862069,0.5520833333333334,0.5060240963855421,0.40555555555555556,0.5603448275862069,0.8404255319148937,0.5851063829787234,0.4666666666666667,0.30337078651685395,0.5638297872340425,0.4523809523809524,88.61111111111111,89.30905739372862,45.16534391534391,36.52116402116402,100.0,97.17369853712867,28.735632183908045,56.32183908045977,coarse
0.0,0.5,0.5,199.39988462144615,189.6293325591589,389.0292171806051,0.4778169014084507,0.42579424399266125,0.49444444444444446,0.626984126984127,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_lambda_p_fit/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0_alpha_0p5_sessions_0_to_29.json.zst,0.48333333333333334,0.3218390804597701,0.5520833333333334,0.5060240963855421,0.49444444444444446,0.626984126984127,0.8404255319148937,0.5851063829787234,0.45555555555555555,0.30337078651685395,0.5638297872340425,0.4523809523809524,83.33333333333334,89.52522986467315,47.21891534391534,39.43452380952381,100.0,98.15614015614015,44.72222222222222,62.499999999999986,coarse
0.0,0.75,0.75,200.7400328826897,185.88902479664137,386.629057679331,0.4494131455399061,0.4527349043187054,0.5333333333333333,0.6339285714285714,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_lambda_p_fit/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0_alpha_0p75_sessions_0_to_29.json.zst,0.36666666666666664,0.3409090909090909,0.5520833333333334,0.5060240963855421,0.5333333333333333,0.6339285714285714,0.8404255319148937,0.5851063829787234,0.45,0.36046511627906974,0.5638297872340425,0.4523809523809524,80.83333333333333,89.00525072240758,43.442460317460316,41.69973544973545,100.0,96.82556850406748,53.44827586206896,63.2183908045977,coarse
0.0,1.0,1.0,205.3393829017803,195.5537409149824,400.8931238167627,0.432942097026604,0.5306455707889027,0.5,0.8085106382978723,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_lambda_p_fit/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0_alpha_1_sessions_0_to_29.json.zst,0.37777777777777777,0.375,0.5520833333333334,0.5060240963855421,0.5,0.8085106382978723,0.8404255319148937,0.5851063829787234,0.4222222222222222,0.37349397590361444,0.5638297872340425,0.4523809523809524,77.77777777777779,88.26844622205267,41.962962962962955,46.29761904761905,100.0,96.45415685998265,58.974358974358964,80.12820512820512,coarse
0.05,0.0,0.0,179.28003893706958,200.23361924477024,379.5136581818398,0.5756651017214397,0.3318957903136402,0.6666666666666666,0.44594594594594594,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_lambda_p_fit/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p05_alpha_0_sessions_0_to_29.json.zst,0.5388888888888889,0.25882352941176473,0.5520833333333334,0.5060240963855421,0.6666666666666666,0.44594594594594594,0.8404255319148937,0.5851063829787234,0.5222222222222223,0.27647058823529413,0.5638297872340425,0.4523809523809524,91.94444444444444,89.07861127918318,56.306216931216944,32.222222222222214,98.88888888888889,98.4846204242756,68.33333333333333,47.77777777777778,coarse
0.05,0.1,0.1,183.49648597640663,192.35306589193186,375.8495518683385,0.6150625978090767,0.37632520308955925,0.6333333333333333,0.4485294117647059,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_lambda_p_fit/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p05_alpha_0p1_sessions_0_to_29.json.zst,0.65,0.2857142857142857,0.5520833333333334,0.5060240963855421,0.6333333333333333,0.4485294117647059,0.8404255319148937,0.5851063829787234,0.5611111111111111,0.3850574712643678,0.5638297872340425,0.4523809523809524,96.11111111111111,89.4206727810503,61.54761904761905,36.960978835978835,98.88888888888889,98.22863247863248,65.27777777777776,46.388888888888886,coarse
0.05,0.25,0.25,186.20764769618881,195.70987402685853,381.91752172304734,0.6350547730829421,0.3563627880325695,0.6166666666666667,0.49264705882352944,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_lambda_p_fit/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p05_alpha_0p25_sessions_0_to_29.json.zst,0.6166666666666667,0.3068181818181818,0.5520833333333334,0.5060240963855421,0.6166666666666667,0.49264705882352944,0.8404255319148937,0.5851063829787234,0.6722222222222223,0.25280898876404495,0.5638297872340425,0.4523809523809524,90.83333333333333,89.02381801108166,64.68915343915343,33.58465608465609,100.0,97.46566936150269,65.55555555555554,50.55555555555556,coarse
