participant_id,file_name,game_type,human_percentage,total_trials,successful_trials,success_rate,multiplayer_trials
5c06063cf7595100015c30f6,experiment_data_5c06063cf7595100015c30f6_room_1aa4a978-1316-4242-a21e-9772545006a7_2025-09-12T16-52-24-665Z.xlsx,human,1.0,20,20.0,1.0,20
62b628e4351d179f1ff6cc59,experiment_data_62b628e4351d179f1ff6cc59_room_329a09b2-ad1f-4458-af0b-f7dd194297d1_2025-09-12T16-54-33-741Z.xlsx,human,1.0,19,19.0,1.0,20
5c0558b8553fb80001191980,experiment_data_5c0558b8553fb80001191980_room_aa6f51e0-a8a1-49f7-ba8a-a3f3bba2b5f5_2025-09-12T17-18-08-622Z.xlsx,gpt-4.1-mini,0.0,19,17.0,0.8947368421052632,20
5dc3552003f8562725a1b956,experiment_data_5dc3552003f8562725a1b956_room_e55b3b94-4195-40a0-b088-223a8c4f1d88_2025-09-12T16-52-35-646Z.xlsx,gpt-4.1-mini,0.0,10,4.0,0.4,17
670d816961bebcb45b53b929,experiment_data_670d816961bebcb45b53b929_room_7a5db826-2ab9-4c4c-8578-c93df8f87b1d_2025-09-12T16-57-24-862Z.xlsx,mixed,0.4,14,10.0,0.7142857142857143,20
66854df2e5fef4239ff63a7d,experiment_data_66854df2e5fef4239ff63a7d_room_7e03a0e9-c26d-4eaa-aada-b9088e8981fe_2025-09-12T17-05-12-863Z.xlsx,gpt-4.1-mini,0.0,18,14.0,0.7777777777777778,19
5aff33bae55f90000139f664,experiment_data_5aff33bae55f90000139f664_room_61690307-cecf-4eb5-bed9-b1c691b7b9a2_2025-09-13T18-14-23-499Z.xlsx,mixed,0.3,18,17.0,0.9444444444444444,20
6016f0e16f7aec8af4152aa4,experiment_data_6016f0e16f7aec8af4152aa4_room_be42df1a-9711-44cc-a7f4-b6c6b6b59c7d_2025-09-13T18-13-10-140Z.xlsx,human,1.0,15,15.0,1.0,20
663a3ee80ab62f61353a10f0,experiment_data_663a3ee80ab62f61353a10f0_room_eb76ae37-255a-4cfa-a16b-78dc1b788aaa_2025-09-12T16-53-32-389Z.xlsx,human,1.0,20,20.0,1.0,20
5bddfba7712eb800010d3a61,experiment_data_5bddfba7712eb800010d3a61_room_e966ae9a-efbe-4448-94ba-022d109d13de_2025-09-13T18-15-16-767Z.xlsx,mixed,0.9473684210526315,16,14.0,0.875,19
607668ac450fc6e3025a131d,experiment_data_607668ac450fc6e3025a131d_room_49124e6f-79b4-4627-ab53-ba0f80c28c33_2025-09-12T16-47-02-878Z.xlsx,mixed,0.8,20,17.0,0.85,20
678f0bb28ec3307e4f1afb78,experiment_data_678f0bb28ec3307e4f1afb78_room_fa684eb1-e4c4-4905-96b7-15cf7b8a3f2d_2025-09-12T16-54-35-519Z.xlsx,human,1.0,20,20.0,1.0,20
596de39c9fd5ee0001b704c3,experiment_data_596de39c9fd5ee0001b704c3_room_b2209a3e-c750-4a3e-a4a4-093f62e7ef08_2025-09-13T18-19-38-863Z.xlsx,gpt-4.1-mini,0.0,20,17.0,0.85,20
5f0a686635f72917e94c7a63,experiment_data_5f0a686635f72917e94c7a63_room_db2021d6-0a33-4478-a117-bf4fbec70cd4_2025-09-12T16-47-00-067Z.xlsx,human,1.0,13,12.0,0.9230769230769231,20
5e1b795dc799223a3b447ada,experiment_data_5e1b795dc799223a3b447ada_room_61690307-cecf-4eb5-bed9-b1c691b7b9a2_2025-09-13T18-13-59-599Z.xlsx,mixed,0.35,19,17.0,0.8947368421052632,20
5f0f7fe1d7ad1c000b42d091,experiment_data_5f0f7fe1d7ad1c000b42d091_room_be42df1a-9711-44cc-a7f4-b6c6b6b59c7d_2025-09-13T18-12-35-846Z.xlsx,human,1.0,17,17.0,1.0,20
5c70eafaf6c9fe00013eeafb,experiment_data_5c70eafaf6c9fe00013eeafb_room_8048bfb7-aa2a-4c5f-b0c8-e2b4f0a19dc6_2025-09-13T18-13-15-378Z.xlsx,human,1.0,20,18.0,0.9,20
660453c9877e571d12b555f7,experiment_data_660453c9877e571d12b555f7_room_33225ba8-f6fe-4cf4-91ee-5530c0096612_2025-09-13T18-21-27-698Z.xlsx,gpt-4.1-mini,0.0,19,16.0,0.8421052631578947,20
5723714684458100120292f6,experiment_data_5723714684458100120292f6_room_329a09b2-ad1f-4458-af0b-f7dd194297d1_2025-09-12T16-56-07-217Z.xlsx,human,1.0,20,19.0,0.95,20
57dd3b0e91b7fc0001493db9,experiment_data_57dd3b0e91b7fc0001493db9_room_b5ed8553-19fc-43a4-ae35-6e256c500817_2025-09-12T17-25-40-624Z.xlsx,gpt-4.1-mini,0.0,20,15.0,0.75,20
663a8c84b8e7c046d854c8dd,experiment_data_663a8c84b8e7c046d854c8dd_room_e966ae9a-efbe-4448-94ba-022d109d13de_2025-09-13T18-17-35-596Z.xlsx,human,1.0,12,11.0,0.9166666666666666,20
6824d53b2584274c9b13924e,experiment_data_6824d53b2584274c9b13924e_room_7a5db826-2ab9-4c4c-8578-c93df8f87b1d_2025-09-12T16-56-18-996Z.xlsx,mixed,0.35,13,13.0,1.0,20
