A,B,mean(A),mean(B),diff,se,T,p-tukey,hedges
GPT-4.1-mini,Human,0.7381242768239673,0.9714285714285714,-0.2333042946046041,0.023640723262615664,-9.868746062162177,0.0,-2.363615465251405
GPT-4.1-mini,Individual RL,0.7381242768239673,0.9777777777777777,-0.23965350095381044,0.023417405285253264,-10.233990403058378,0.0,-2.46880353318612
GPT-4.1-mini,Joint RL,0.7381242768239673,0.9916666666666667,-0.2535423898426994,0.023417405285253264,-10.827091505409596,0.0,-2.755496638066757
Human,Individual RL,0.9714285714285714,0.9777777777777777,-0.006349206349206327,0.017457343912729826,-0.36369830261386504,0.983448137576809,-0.14693189504426124
Human,Joint RL,0.9714285714285714,0.9916666666666667,-0.020238095238095277,0.017457343912729826,-1.159288339581701,0.6538413484613403,-0.5820526850656579
Individual RL,Joint RL,0.9777777777777777,0.9916666666666667,-0.01388888888888895,0.017153714769738804,-0.8096723698233926,0.8497499285849486,-0.38540434786533784
