Comparison,Mean_Diff,t_stat,p_value,cohens_d,effect_size,significance
Human vs GPT-4.1-mini,0.28884536516115455,5.499472655354659,2.9908448269863267e-06,1.9569421714282027,Large,***
Human vs Individual RL,0.0038108090739669143,0.36998725137341487,0.7127876154576773,0.09722123052466693,Small,ns
Human vs Joint RL,-0.010078079814922036,-1.2814960598271745,0.20530039614700205,-0.3367376129486346,Small,ns
GPT-4.1-mini vs Individual RL,-0.28503455608718764,-5.545490775342831,2.214345792730398e-06,-1.9546767426431484,Large,***
GPT-4.1-mini vs Joint RL,-0.2989234449760766,-5.945750129682875,6.16031676027715e-07,-2.0957603153419924,Large,***
Individual RL vs Joint RL,-0.01388888888888895,-1.5123049447967831,0.13588635336220378,-0.3904754577056712,Small,ns
