Game_Type,Study,N,Mean,SD,SE,CI_95_Lower,CI_95_Upper,Min,Max
Human,Human-Human-GPT,28,0.841,0.170,0.032,0.775,0.907,0.417,1.000
GPT-4.1-mini,Human-Human-GPT,11,0.715,0.129,0.039,0.629,0.802,0.455,0.857
Individual RL,Human-RL,30,0.695,0.097,0.018,0.659,0.732,0.500,0.917
Joint RL,Human-RL,30,0.788,0.121,0.022,0.743,0.834,0.583,1.000
