key,label,raw_trials,lambda,eta,fit_objective
shared_agency_no_signaling_lambda02,Shared agency no signaling,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/shared_agency_log_odds_eta_sweep/log_odds_eta_sweep/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p2_alpha_0_score_logodds_sessions_0_to_29.json.zst,0.2,0.0,reference
shared_agency_log_odds_best_eta,Shared agency log-odds signaling,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/shared_agency_log_odds_eta_sweep/log_odds_eta_sweep/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p2_alpha_0p05_score_logodds_sessions_0_to_29.json.zst,0.2,0.05,commitment_plus_signaling_nll
