model,eta,lambda,n_params,actions,in_sample_nll,heldout_nll,heldout_nll_per_action,expected_signal_move,expected_btom_legibility,expected_mean_posterior_lift,aic,bic,delta_heldout_nll
"no signaling, lambda=.2",0.0,0.2,0,254,172.99541717331968,172.99541717331957,0.6810843195799983,0.7342215611075029,0.8346094489116069,0.4768818323607601,345.99083434663936,345.99083434663936,0.0
costly legibility utility,0.0,0.2,1,254,172.99541717331968,172.99541717331957,0.6810843195799983,0.7342215611075029,0.8346094489116069,0.4768818323607601,347.99083434663936,351.5281686136579,0.0
constant RSA alpha=1,1.0,0.2,0,254,189.34986410333806,189.34986410333812,0.745471905918654,0.7848217450560272,0.8637486396444221,0.6666927655097981,378.6997282066761,378.6997282066761,16.354446930018554
trial-level best lambda=.15 alpha=.5,0.5,0.15,0,254,190.99051009086796,190.99051009086793,0.7519311420900312,0.7721193182539956,0.8552490596351935,0.6331441929163089,381.9810201817359,381.9810201817359,17.995092917548362
