model,eta,lambda,n_params,actions,in_sample_nll,heldout_nll,heldout_nll_per_action,expected_signal_move,expected_btom_legibility,expected_mean_posterior_lift,aic,bic,delta_heldout_nll
"no signaling, lambda=.2",0.0,0.2,0,688,437.4377522635165,437.43775226351704,0.6358106864295305,0.7429764933754364,0.881814832165695,0.3280413470602755,874.875504527033,874.875504527033,0.0
costly legibility utility,0.0,0.2,1,688,437.4377522635165,437.43775226351704,0.6358106864295305,0.7429764933754364,0.881814832165695,0.3280413470602755,876.875504527033,881.4092933649663,0.0
constant RSA alpha=1,1.0,0.2,0,688,467.4481313662003,467.4481313662004,0.6794304234973844,0.7796064404639879,0.9023880592369785,0.4715015019307719,934.8962627324006,934.8962627324006,30.010379102683373
trial-level best lambda=.15 alpha=.5,0.5,0.15,0,688,469.94455692469387,469.9445569246947,0.6830589490184517,0.770968752242762,0.8967628623005515,0.44721512511696676,939.8891138493877,939.8891138493877,32.50680466117768
