eta,lambda,negative_log_likelihood,expected_signal_move,expected_btom_legibility,expected_mean_posterior_lift,fit_stage
0.0,0.2,172.99541717331968,0.7342215611075029,0.8346094489116069,0.4768818323607601,coarse
0.0125,0.2,173.28960245647815,0.7355413935423705,0.8352864023679157,0.48284809625985053,refine
0.025,0.2,173.5881690628177,0.7368557503171046,0.8359601096042903,0.4887676035107727,refine
0.0375,0.2,173.89071519198257,0.7381627827976046,0.8366299505631923,0.49463257435472385,refine
0.05,0.2,174.19680630879705,0.7394606465593871,0.8372952987400002,0.5004350193588887,coarse
0.1,0.2,175.44708729625884,0.7445248700484649,0.8398994446089681,0.5228604844779555,coarse
0.2,0.2,177.96694516758131,0.7537365130593278,0.8447224732820905,0.5625450994130872,coarse
0.4,0.2,182.3715457102105,0.7674128286994801,0.8523758853011588,0.6167881581924869,coarse
0.8,0.2,187.69126503407182,0.7811444322243497,0.8612111257288075,0.6588494616940878,coarse
1.2,0.2,190.72442953981727,0.7875306206008342,0.8655905673708567,0.6714756705973175,coarse
1.6,0.2,193.0572329144912,0.7912966926169396,0.8680108882592399,0.67683586846791,coarse
2.0,0.2,195.12951203505563,0.7938214541235584,0.8694834849624361,0.6796626723771144,coarse
3.0,0.2,199.8632876916162,0.7976097835151134,0.8713932635452991,0.6828891538847338,coarse
5.0,0.2,208.32239479447375,0.8010097082611319,0.872736978719704,0.6849038877013036,coarse
8.0,0.2,219.45459342724936,0.8029094786095923,0.8732756824214353,0.685663130544502,coarse
12.0,0.2,233.44311128881893,0.8038953138139361,0.8734467547128985,0.6858939658767914,coarse
16.0,0.2,247.295523767123,0.8044454761715,0.8734953989064834,0.6859544407037896,coarse
24.0,0.2,272.0366656221149,0.8052271822310395,0.8735294796230437,0.685992539660751,coarse
32.0,0.2,289.28094945502187,0.8058540776902126,0.873543101693761,0.6860069585246094,coarse
