group,participantId,sessionIndex,trialIndex,playerIndex,distanceCondition,nSteps,posteriors
Individual RL,individual_rl_legacy_session_2_player1,2.0,3,1,equal_to_both,12,"[0.5, 0.9827411102695004, 0.9995317231779959, 0.9999818951874176, 0.9999838642286075, 0.9999849566336153, 0.9999856822660966, 0.9999861910275014, 0.99999984664843, 0.9999999962188584, 0.9999999982666393, 0.9999999994946186]"
Individual RL,individual_rl_legacy_session_2_player2,2.0,3,2,equal_to_both,12,"[0.5, 0.9811855633287875, 0.9833855458592647, 0.9997053924239641, 0.9997186347737552, 0.999995189363634, 0.9999998709713311, 0.9999999904659452, 0.9999999955611072, 0.9999999979362344, 0.9999999990681779, 0.9999999997312704]"
Individual RL,individual_rl_legacy_session_2_player1,2.0,5,1,closer_to_player2,9,"[0.5, 0.5024426719423568, 0.9896289394873915, 0.9998217284659461, 0.9998262958097114, 0.9999970669590925, 0.999997142157279, 0.9999966262887919, 0.9999999822124228]"
Individual RL,individual_rl_legacy_session_2_player2,2.0,5,2,closer_to_player2,6,"[0.5, 0.3712753191024218, 0.9985582672457014, 0.999997575113333, 0.9999999925399001, 0.9999999999606626]"
Individual RL,individual_rl_legacy_session_2_player1,2.0,7,1,equal_to_both,12,"[0.5, 0.5012557318698769, 0.9894989042492033, 0.9896215170430015, 0.9896974201173669, 0.9897675471928686, 0.9901856908030273, 0.9943413565044379, 0.9999669782023116, 0.9999999608863973, 0.9999999999082932, 0.9999999999996068]"
Individual RL,individual_rl_legacy_session_2_player2,2.0,7,2,equal_to_both,12,"[0.5, 0.9819300456400918, 0.9994981444439882, 0.9999804379085596, 0.9999989425332557, 0.9999999222313952, 0.9999999881556526, 0.9999999959474882, 0.9999999982246088, 0.9999999991774045, 0.9999999996105953, 0.9999999998137514]"
Individual RL,individual_rl_legacy_session_2_player1,2.0,10,1,closer_to_player1,6,"[0.5, 0.4967799421301432, 0.5721346004976035, 0.6313561923946701, 0.6698762252123589, 0.7529572768442296]"
Individual RL,individual_rl_legacy_session_2_player2,2.0,10,2,closer_to_player1,9,"[0.5, 0.5030064068535505, 0.5051886541186875, 0.5064062310367022, 0.5031887547424051, 0.39645078982689813, 0.5678412380745583, 0.7244150346779572, 0.8411018904881125]"
Individual RL,individual_rl_legacy_session_2_player1,2.0,11,1,closer_to_player2,9,"[0.5, 0.5029499626449672, 0.5129997059271907, 0.5202177390716011, 0.5171013396118583, 0.4108308129161249, 0.582445955820785, 0.7361922644711462, 0.8490167504433124]"
Individual RL,individual_rl_legacy_session_2_player2,2.0,11,2,closer_to_player2,6,"[0.5, 0.5832696676995422, 0.47682834022056997, 0.6457938498989049, 0.7848318338240443, 0.8802383121262443]"
Individual RL,individual_rl_legacy_session_3_player1,3.0,8,1,equal_to_both,10,"[0.5, 0.9938486648523678, 0.9938929886439222, 0.9999621390732447, 0.9999625270855478, 0.9999997689211553, 0.9999997735876914, 0.9999997851528587, 0.9999999991369034, 0.9999999995091255]"
Individual RL,individual_rl_legacy_session_3_player2,3.0,8,2,equal_to_both,10,"[0.5, 0.9937677967512144, 0.9938658207659323, 0.9938965445985289, 0.9999793532225026, 0.9999998727722288, 0.9999999986462501, 0.9999999999681003, 0.9999999999845449, 0.9999999999928258]"
Individual RL,individual_rl_legacy_session_3_player1,3.0,9,1,closer_to_player2,9,"[0.5, 0.5045056491710727, 0.5077605776938129, 0.5036960704624749, 0.5107585693557349, 0.5476217107486867, 0.5531750704669172, 0.5567010382866794, 0.5588244924969208]"
Individual RL,individual_rl_legacy_session_3_player2,3.0,9,2,closer_to_player2,6,"[0.5, 0.5832697833302684, 0.4768283159560277, 0.6457938270441128, 0.7848318167092795, 0.8802383012817534]"
Individual RL,individual_rl_legacy_session_4_player1,4.0,2,1,equal_to_both,12,"[0.5, 0.5012671814842063, 0.5013529038819251, 0.5013739291030106, 0.5017815393927035, 0.50964182088579, 0.6369893126396033, 0.9985758751117431, 0.9999992190176903, 0.9999999990749732, 0.9999999999978312, 0.9999999999999907]"
Individual RL,individual_rl_legacy_session_4_player2,4.0,2,2,equal_to_both,12,"[0.5, 0.48791564687750955, 0.9888576607229924, 0.9998052124798301, 0.9998119221529003, 0.9999967908702588, 0.9999999163741137, 0.9999999967835185, 0.9999999977480375, 0.9999999983027075, 0.9999999999470723, 0.9999999999746851]"
Individual RL,individual_rl_legacy_session_4_player1,4.0,3,1,closer_to_player1,6,"[0.5, 0.37738187863850836, 0.5479973544811078, 0.7080509237005955, 0.8291173869394014, 0.907209077047507]"
Individual RL,individual_rl_legacy_session_4_player2,4.0,3,2,closer_to_player1,9,"[0.5, 0.503438272230645, 0.5054183457739818, 0.5126374291403865, 0.5172034035693386, 0.5196064108821802, 0.5137885301650054, 0.5553875152251474, 0.6599515704277923]"
Individual RL,individual_rl_legacy_session_4_player1,4.0,4,1,closer_to_player2,9,"[0.5, 0.5045062884870275, 0.5021916247777639, 0.50934285368767, 0.5030564416591329, 0.4880927946110765, 0.5467061722327218, 0.5502416775040634, 0.5523711938236526]"
Individual RL,individual_rl_legacy_session_4_player2,4.0,4,2,closer_to_player2,6,"[0.5, 0.4968327662347513, 0.5717105876648699, 0.4915446837161327, 0.6591758712979027, 0.7958024388723585]"
Individual RL,individual_rl_legacy_session_4_player1,4.0,7,1,closer_to_player2,9,"[0.5, 0.9831531115884671, 0.9835519095605345, 0.9838050196658548, 0.9998290674690653, 0.9998307517060802, 0.9999986002395155, 0.9999983557820236, 0.9999999911991302]"
Individual RL,individual_rl_legacy_session_4_player2,4.0,7,2,closer_to_player2,6,"[0.5, 0.37122337588985593, 0.9985561688748877, 0.9999975691279884, 0.999999992514808, 0.999999999960499]"
Individual RL,individual_rl_legacy_session_4_player1,4.0,8,1,closer_to_player1,6,"[0.5, 0.5836348822255931, 0.6550154191489187, 0.577839764979426, 0.7324975578347659, 0.8464873709836038]"
Individual RL,individual_rl_legacy_session_4_player2,4.0,8,2,closer_to_player1,9,"[0.5, 0.5035279324463005, 0.5057103104915931, 0.5071770647142767, 0.5075429614339702, 0.5058432611332877, 0.4246109781401943, 0.5961735678553371, 0.7482927963750019]"
Individual RL,individual_rl_legacy_session_4_player1,4.0,9,1,equal_to_both,11,"[0.5, 0.9893255836952863, 0.9998126878075616, 0.9998202871830522, 0.9998233225661723, 0.9999981311275792, 0.9999999680864665, 0.9999999991609119, 0.9999999993708238, 0.9999999995039387, 0.9999999999884218]"
Individual RL,individual_rl_legacy_session_4_player2,4.0,9,2,equal_to_both,11,"[0.5, 0.9894602933839759, 0.9895745779544891, 0.9998885971366225, 0.9999981018759951, 0.9999999506004497, 0.9999999980920965, 0.9999999998214849, 0.9999999999198266, 0.9999999999638567, 0.9999999999841652]"
Individual RL,individual_rl_legacy_session_4_player1,4.0,10,1,equal_to_both,10,"[0.5, 0.9938515898581165, 0.9999345814934938, 0.9999356739482066, 0.9999993216906408, 0.9999999882888276, 0.9999999915485484, 0.9999999998015817, 0.99999999990339, 0.9999999999527135]"
Individual RL,individual_rl_legacy_session_4_player2,4.0,10,2,equal_to_both,10,"[0.5, 0.9937400936028439, 0.9938658974629132, 0.9999619010262482, 0.9999995877628883, 0.9999997100152017, 0.9999999952875271, 0.9999999976933527, 0.9999999989172385, 0.9999999996942118]"
Individual RL,individual_rl_legacy_session_5_player1,5.0,0,1,closer_to_player1,6,"[0.5, 0.9966454164957811, 0.9999791437504608, 0.9999998276335021, 0.9999999974790302, 0.9999999999344751]"
Individual RL,individual_rl_legacy_session_5_player2,5.0,0,2,closer_to_player1,9,"[0.5, 0.9831802844028213, 0.9995552293339918, 0.9995715141604283, 0.999575990310703, 0.9993589794017997, 0.9999966191941494, 0.9999999712280002, 0.9999999996196106]"
Individual RL,individual_rl_legacy_session_5_player1,5.0,1,1,closer_to_player2,9,"[0.5, 0.5034056361594393, 0.5055977825991422, 0.5068164772685249, 0.5114792907612176, 0.5139507156791577, 0.5085462004889578, 0.5507679605901149, 0.6480767336957367]"
Individual RL,individual_rl_legacy_session_5_player2,5.0,1,2,closer_to_player2,6,"[0.5, 0.5015793832253759, 0.5080994125180981, 0.5574982731756626, 0.5581308824051944, 0.5583507031256473]"
Individual RL,individual_rl_legacy_session_5_player1,5.0,7,1,equal_to_both,12,"[0.5, 0.9828662095789774, 0.9831941133609436, 0.98337831035082, 0.9834958666623427, 0.9835536405779035, 0.983228773027489, 0.9999785700590468, 0.9999999447704041, 0.999999927633714, 0.9999999998303196, 0.9999999999992709]"
Individual RL,individual_rl_legacy_session_5_player2,5.0,7,2,equal_to_both,12,"[0.5, 0.9819300456400918, 0.982436490128901, 0.9826782327220374, 0.9828037881252588, 0.982864053125033, 0.9999426716910882, 0.9999422568401042, 0.9999149403168571, 0.9999998992434143, 0.9999999997637636, 0.999999999998987]"
Individual RL,individual_rl_legacy_session_5_player1,5.0,11,1,equal_to_both,9,"[0.5, 0.9966366882579084, 0.9999791389473393, 0.9999794319014953, 0.9999801806744455, 0.9999828609553069, 0.9999999715814366, 0.9999999999045212, 0.9999999999994036]"
Individual RL,individual_rl_legacy_session_5_player2,5.0,11,2,equal_to_both,9,"[0.5, 0.9966416104501771, 0.9966614034058014, 0.9967221189043601, 0.9969322731175766, 0.9999977134800976, 0.9999999962087018, 0.9999999999872627, 0.9999999999999206]"
Individual RL,individual_rl_legacy_session_6_player1,6.0,0,1,closer_to_player1,6,"[0.5, 0.9983201726147545, 0.9999948213527865, 0.9999999727027856, 0.9999999997678721, 0.9999999999969837]"
Individual RL,individual_rl_legacy_session_6_player2,6.0,0,2,closer_to_player1,9,"[0.5, 0.9832481779726765, 0.9836331422198836, 0.9997234819922031, 0.9999929187499458, 0.9999997338924715, 0.9999997479441579, 0.9999997102507062, 0.999999996192735]"
Individual RL,individual_rl_legacy_session_6_player1,6.0,2,1,equal_to_both,12,"[0.5, 0.500026598305112, 0.9894502455231221, 0.9895712108541895, 0.9896469080051955, 0.9999354699390325, 0.9999993176250274, 0.9999999883491616, 0.9999999996928213, 0.9999999999820285, 0.9999999999918983, 0.9999999999964506]"
Individual RL,individual_rl_legacy_session_6_player2,6.0,2,2,equal_to_both,12,"[0.5, 0.500026772438557, 0.989450251392723, 0.9895712179373697, 0.9896469152372168, 0.9897075593414839, 0.9999646442592544, 0.9999659279933975, 0.9999705354571818, 0.9999999511437401, 0.999999999835856, 0.9999999999989747]"
Individual RL,individual_rl_legacy_session_6_player1,6.0,9,1,closer_to_player1,6,"[0.5, 0.37717050228967564, 0.9985930423273502, 0.9999976295082932, 0.9999999926921453, 0.9999999999613706]"
Individual RL,individual_rl_legacy_session_6_player2,6.0,9,2,closer_to_player1,9,"[0.5, 0.5034387383800385, 0.5054187907238114, 0.5007334327417605, 0.9976048286794686, 0.9963430837090556, 0.9999938256278823, 0.9999999809662367, 0.9999999998990478]"
Individual RL,individual_rl_legacy_session_7_player1,7.0,2,1,equal_to_both,12,"[0.5, 0.9827981027478571, 0.9995347996095849, 0.9999820741875968, 0.9999990425945723, 0.9999991632433901, 0.9999992276792811, 0.9999999701753643, 0.9999999792496944, 0.9999999987860112, 0.9999999994527202, 0.9999999997602308]"
Individual RL,individual_rl_legacy_session_7_player2,7.0,2,2,equal_to_both,12,"[0.5, 0.9828001928528994, 0.9832178883982275, 0.9834088905418884, 0.9998215869491904, 0.9999969594283191, 0.9999970384310112, 0.9999999494372703, 0.9999999513344638, 0.9999999548029117, 0.9999999690261782, 0.9999999998068718]"
Individual RL,individual_rl_legacy_session_7_player1,7.0,3,1,closer_to_player2,9,"[0.5, 0.5033919428741351, 0.505342537054434, 0.9941482294325639, 0.9999388811380555, 0.9999394843281727, 0.9999994998380108, 0.9999994125687837, 0.9999999968783669]"
Individual RL,individual_rl_legacy_session_7_player2,7.0,3,2,closer_to_player2,6,"[0.5, 0.3771005044088192, 0.9985938516277871, 0.9999976343842073, 0.9999999927228798, 0.9999999999616426]"
Individual RL,individual_rl_legacy_session_7_player1,7.0,5,1,closer_to_player1,6,"[0.5, 0.4968930574153169, 0.9987237833104524, 0.9982467915729648, 0.9999984621094055, 0.9999999973273436]"
Individual RL,individual_rl_legacy_session_7_player2,7.0,5,2,closer_to_player1,9,"[0.5, 0.9832137108895894, 0.9836366563481778, 0.9839040661844326, 0.9840654035556772, 0.9999011235011896, 0.999998957762026, 0.9999991138440268, 0.9999991214977947]"
Individual RL,individual_rl_legacy_session_7_player1,7.0,8,1,equal_to_both,10,"[0.5, 0.500001310744603, 0.9966410676918094, 0.9966562084749983, 0.9966688298406817, 0.996727788655659, 0.997079225779584, 0.9999991247399377, 0.9999999993500117, 0.9999999999989224]"
Individual RL,individual_rl_legacy_session_7_player2,7.0,8,2,equal_to_both,10,"[0.5, 0.9937637496240529, 0.993860338043516, 0.9938910956470526, 0.993914236160407, 0.9940216633561739, 0.9946621836218354, 0.9999983965460187, 0.9999999988092373, 0.9999999999980259]"
Individual RL,individual_rl_legacy_session_7_player1,7.0,10,1,closer_to_player2,8,"[0.5, 0.34671762568362396, 0.94770116069325, 0.9294135320760949, 0.9034633065245848, 0.8675764130068955, 0.7923199631032994, 0.999844484730118]"
Individual RL,individual_rl_legacy_session_7_player2,7.0,10,2,closer_to_player2,5,"[0.5, 0.49836492219100037, 0.41843323650672903, 0.9997644161201613, 0.999999905314154]"
Individual RL,individual_rl_legacy_session_8_player1,8.0,0,1,equal_to_both,12,"[0.5, 0.982978771507495, 0.9832506841045526, 0.9834311934716256, 0.983550169457686, 0.9836458531774318, 0.9999434756235955, 0.9999455259621063, 0.9999528794725103, 0.9999999218656124, 0.9999999997374991, 0.9999999999983633]"
Individual RL,individual_rl_legacy_session_8_player2,8.0,0,2,equal_to_both,12,"[0.5, 0.9817784801897437, 0.9994907453467917, 0.9995591589048518, 0.9999883163967443, 0.9999995503777545, 0.9999995971229945, 0.9999996194559219, 0.999999633907001, 0.9999999934504501, 0.999999994855262, 0.9999999998711185]"
Individual RL,individual_rl_legacy_session_8_player1,8.0,1,1,closer_to_player1,6,"[0.5, 0.37656017434937034, 0.5471211193444112, 0.7073130600236616, 0.8286073649858715, 0.9068503812463415]"
Individual RL,individual_rl_legacy_session_8_player2,8.0,1,2,closer_to_player1,9,"[0.5, 0.5034349881026393, 0.5054048000801835, 0.5006166780706363, 0.3771476491636969, 0.5477410187144061, 0.7078308221208263, 0.8289624527669505, 0.9070615523534965]"
Individual RL,individual_rl_legacy_session_8_player1,8.0,2,1,closer_to_player2,9,"[0.5, 0.502442569166552, 0.9896284935500866, 0.999821693416212, 0.9998262644945726, 0.9998279763451945, 0.9997649004911193, 0.999999276273794, 0.9999999961261741]"
Individual RL,individual_rl_legacy_session_8_player2,8.0,2,2,closer_to_player2,6,"[0.5, 0.9975960632155202, 0.9962732331531201, 0.9999937111638738, 0.9999999806352093, 0.999999999897808]"
Individual RL,individual_rl_legacy_session_8_player1,8.0,5,1,equal_to_both,9,"[0.5, 0.9966442582583303, 0.9966594430867701, 0.9966722606465301, 0.9967337236164008, 0.9971046056706699, 0.9999991323286096, 0.9999999993556652, 0.999999999998932]"
Individual RL,individual_rl_legacy_session_8_player2,8.0,5,2,equal_to_both,9,"[0.5, 0.49999977834967163, 0.9982983426877563, 0.9983048825774542, 0.9999970704022879, 0.9999971754032805, 0.9999978003253993, 0.9999999983665142, 0.9999999999972923]"
Individual RL,individual_rl_legacy_session_8_player1,8.0,9,1,closer_to_player1,6,"[0.5, 0.5833231973821893, 0.47674426262209213, 0.6457156780235307, 0.7847737053863209, 0.8802018222507709]"
Individual RL,individual_rl_legacy_session_8_player2,8.0,9,2,closer_to_player1,9,"[0.5, 0.5038572964392332, 0.505837332557469, 0.5011520423211075, 0.5843893245502502, 0.6552765725846212, 0.5792421644466679, 0.7336286420629888, 0.8473222028201909]"
Individual RL,individual_rl_legacy_session_8_player1,8.0,10,1,equal_to_both,10,"[0.5, 0.5000013107434931, 0.996641067692321, 0.9999792330825634, 0.9999997808437399, 0.9999999962160102, 0.9999999998521465, 0.9999999999290059, 0.9999999999656133, 0.9999999999840274]"
Individual RL,individual_rl_legacy_session_8_player2,8.0,10,2,equal_to_both,10,"[0.5, 0.9937637135349796, 0.9999324788588527, 0.9999988267175518, 0.9999999682221501, 0.9999999783148898, 0.999999984162454, 0.99999998771936, 0.9999999998392054, 0.9999999999253124]"
Individual RL,individual_rl_legacy_session_9_player1,9.0,1,1,equal_to_both,11,"[0.5, 0.4999577656075646, 0.4999596154357624, 0.9966403236341845, 0.9966555421616478, 0.9966681703370622, 0.9999942299198042, 0.9999944325621757, 0.9999999896925702, 0.9999999999585923, 0.9999999999996458]"
Individual RL,individual_rl_legacy_session_9_player2,9.0,1,2,equal_to_both,11,"[0.5, 0.4999462834015237, 0.49994487551822875, 0.996640135432053, 0.9966553469637802, 0.9966679744278243, 0.9967269484634743, 0.9970784755690014, 0.9999991245144781, 0.9999999993498444, 0.9999999999989221]"
Individual RL,individual_rl_legacy_session_9_player1,9.0,5,1,closer_to_player1,6,"[0.5, 0.9966542540853732, 0.9966979221284297, 0.9999888660388424, 0.9999905094930023, 0.9999999670133556]"
Individual RL,individual_rl_legacy_session_9_player2,9.0,5,2,closer_to_player1,9,"[0.5, 0.5050512150970787, 0.5075378574888324, 0.9940597655868527, 0.9942034200957918, 0.9999638812783554, 0.9999716911690345, 0.9999757184461283, 0.9999999157176924]"
Individual RL,individual_rl_legacy_session_9_player1,9.0,6,1,closer_to_player1,6,"[0.5, 0.9976002826286166, 0.9963356399185774, 0.9999938281469909, 0.9999999810332196, 0.99999999990012]"
Individual RL,individual_rl_legacy_session_9_player2,9.0,6,2,closer_to_player1,9,"[0.5, 0.9832206755077302, 0.9995558155731603, 0.9999831750047729, 0.999984294859585, 0.9999994016431117, 0.9999999565376174, 0.9999999798452135, 0.9999999904676987]"
Individual RL,individual_rl_legacy_session_9_player1,9.0,7,1,closer_to_player2,9,"[0.5, 0.983224035728164, 0.9836256359874975, 0.9838805915485554, 0.9837976748220002, 0.9999249375336333, 0.9999993797402983, 0.9999999908647602, 0.9999999911292614]"
Individual RL,individual_rl_legacy_session_9_player2,9.0,7,2,closer_to_player2,6,"[0.5, 0.9975977031814399, 0.9963320365129569, 0.999993806778466, 0.9999999809099755, 0.9999999998991076]"
Individual RL,individual_rl_legacy_session_9_player1,9.0,9,1,equal_to_both,9,"[0.5, 0.4994767218285703, 0.9983437038002821, 0.998310483568808, 0.997299614956244, 0.9999985172290339, 0.9999999982437444, 0.9999999999958822, 0.9999999999999823]"
Individual RL,individual_rl_legacy_session_9_player2,9.0,9,2,equal_to_both,9,"[0.5, 0.9966464451137753, 0.9999792864035042, 0.9999794825982375, 0.999979334205001, 0.9999695590920511, 0.9999999639437418, 0.9999999999154573, 0.9999999999996367]"
Individual RL,individual_rl_legacy_session_9_player1,9.0,10,1,closer_to_player1,6,"[0.5, 0.5007494220824101, 0.49936643740844405, 0.419606302622078, 0.99976240533561, 0.9999999034892278]"
Individual RL,individual_rl_legacy_session_9_player2,9.0,10,2,closer_to_player1,9,"[0.5, 0.5092789123520725, 0.5119156930443547, 0.5133427759020085, 0.5140869602368604, 0.9984038188847536, 0.9999946295828708, 0.999999960462414, 0.9999999804248373]"
Individual RL,individual_rl_legacy_session_10_player1,10.0,3,1,closer_to_player1,6,"[0.5, 0.9975971830543897, 0.9999890139047354, 0.999999909148035, 0.9999998933681284, 0.9999999994379466]"
Individual RL,individual_rl_legacy_session_10_player2,10.0,3,2,closer_to_player1,9,"[0.5, 0.9832211508379167, 0.9836225267448109, 0.9838774439996479, 0.9998298685196269, 0.9999971237892128, 0.9999999239356744, 0.9999999372622393, 0.999999997944895]"
Individual RL,individual_rl_legacy_session_10_player1,10.0,4,1,closer_to_player1,6,"[0.5, 0.49681496558324506, 0.9987229729380033, 0.9999966336568904, 0.9999999821937213, 0.99999999981229]"
Individual RL,individual_rl_legacy_session_10_player2,10.0,4,2,closer_to_player1,9,"[0.5, 0.9832156218015479, 0.9995544964125817, 0.9995813197175295, 0.9995983350032149, 0.9996079409526529, 0.9996120773337687, 0.9999979265199687, 0.9999999722506185]"
Individual RL,individual_rl_legacy_session_10_player1,10.0,9,1,closer_to_player2,9,"[0.5, 0.5038613230373502, 0.5063535056104086, 0.508364352155245, 0.5183876791342213, 0.6419622260294935, 0.5363014060643125, 0.9967723981442358, 0.9973603518978976]"
Individual RL,individual_rl_legacy_session_10_player2,10.0,9,2,closer_to_player2,6,"[0.5, 0.5832427971468787, 0.9981212944177112, 0.9990627192465881, 0.9995319170992258, 0.9997661866593953]"
Individual RL,individual_rl_legacy_session_11_player1,11.0,1,1,closer_to_player2,9,"[0.5, 0.5040900600297605, 0.9897064152338492, 0.990092139426019, 0.9998928412157322, 0.9999208159010564, 0.999937927693162, 0.9999466307513342, 0.9999466203803244]"
Individual RL,individual_rl_legacy_session_11_player2,11.0,1,2,closer_to_player2,6,"[0.5, 0.9966520712306497, 0.999979183861052, 0.9999838666613218, 0.999986215191909, 0.9999999536745631]"
Individual RL,individual_rl_legacy_session_11_player1,11.0,2,1,closer_to_player1,6,"[0.5, 0.49681788003499533, 0.9987229809792342, 0.9999966336581264, 0.9999960026787066, 0.9999999932765514]"
Individual RL,individual_rl_legacy_session_11_player2,11.0,2,2,closer_to_player1,9,"[0.5, 0.503406350428471, 0.5055985245079898, 0.5068242015783694, 0.996789942937762, 0.9999803148477913, 0.9999997892303126, 0.9999999943655123, 0.9999999971356792]"
