model,lambda,alpha,n_params,actions,in_sample_nll,heldout_nll,heldout_nll_per_action,aic,bic,delta_heldout_nll
Shared agency commitment no signaling,0.2375,0.0,1,688,435.5344684339411,437.66888384884277,0.6361466335012249,873.0689368678821,877.6027257058155,0.0
Shared agency commitment signaling,0.2375,0.0,2,688,435.5344684339411,437.66888384884277,0.6361466335012249,875.0689368678821,884.1365145437488,0.0
Shared agency no commitment no signaling,0.0,0.0,0,688,567.5054724081664,567.505472408166,0.8248626052444273,1135.0109448163328,1135.0109448163328,129.83658855932327
Joint RL,,,0,688,827.1066648760744,827.1066648760707,1.2021899198780097,1654.2133297521489,1654.2133297521489,389.4377810272279
Individual RL,,,0,688,2431.147986579007,2431.1479865790116,3.533645329329959,4862.295973158014,4862.295973158014,1993.4791027301687
