fit_source,lambda,alpha,human_step_level_nll,raw_trials,average_success_percent,average_efficiency_percent,average_commitment_percent,average_signaling_percent,equal_success_percent,equal_efficiency_percent,equal_commitment_percent,equal_signaling_percent
trial-level commitment+signaling NLL,0.15,0.5,469.94455692469387,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/no_latent_joint_rl_shared_agency_baseline/shared_agency_commitment_signaling_joint_lambda_alpha_sweep/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p15_alpha_0p5_sessions_0_to_29.json.zst,91.94444444444444,85.6614856412139,67.68386243386243,39.9589947089947,97.77777777777777,95.60198654702633,77.77777777777779,51.388888888888886
signal-window human action NLL,0.2375,0.0,435.5344684339411,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/shared_agency_signal_window_model_comparison/shared_agency_commitment_signaling/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p2375_alpha_0_sessions_0_to_29.json.zst,92.5,89.21950885497513,79.85119047619048,35.489417989417994,100.0,98.58784893267652,95.97701149425288,40.80459770114942
