variant,eta,lambda,negative_log_likelihood,fit_stage
posterior_lift,0.0,0.2,260.27267418654003,coarse
posterior_lift,0.0125,0.2,260.39075126079996,refine
posterior_lift,0.025,0.2,260.5086698738943,refine
posterior_lift,0.0375,0.2,260.6264746889271,refine
posterior_lift,0.05,0.2,260.7442077536368,coarse
posterior_lift,0.1,0.2,261.2151780366519,coarse
posterior_lift,0.2,0.2,262.16360594201075,coarse
posterior_lift,0.4,0.2,264.1197774357807,coarse
posterior_lift,0.8,0.2,268.339366850395,coarse
posterior_lift,1.2,0.2,272.8721226163173,coarse
posterior_lift,1.6,0.2,277.5111158921011,coarse
posterior_lift,2.0,0.2,282.0715970529927,coarse
posterior_lift,3.0,0.2,292.4763359990235,coarse
posterior_lift,5.0,0.2,308.8960726387928,coarse
posterior_lift,8.0,0.2,328.8016453362755,coarse
posterior_lift,12.0,0.2,354.71486343186893,coarse
posterior_lift,16.0,0.2,382.17797243069214,coarse
posterior_lift,24.0,0.2,439.7289546623452,coarse
posterior_lift,32.0,0.2,497.22683226981235,coarse
entropy_reduction,0.0,0.2,260.27267418654003,coarse
entropy_reduction,0.05,0.2,260.2065656204703,coarse
entropy_reduction,0.1,0.2,260.14800081774536,coarse
entropy_reduction,0.2,0.2,260.05343855912605,coarse
entropy_reduction,0.35,0.2,259.9677386896907,refine
entropy_reduction,0.4,0.2,259.9540611350021,coarse
entropy_reduction,0.5,0.2,259.9489002333076,refine
entropy_reduction,0.65,0.2,259.99625314381876,refine
entropy_reduction,0.8,0.2,260.10902699402266,coarse
entropy_reduction,1.2,0.2,260.7227237073842,coarse
entropy_reduction,1.6,0.2,261.7757790112462,coarse
entropy_reduction,2.0,0.2,263.24516351555394,coarse
entropy_reduction,3.0,0.2,268.5674824048381,coarse
entropy_reduction,5.0,0.2,284.82405776121755,coarse
entropy_reduction,8.0,0.2,318.4340216002946,coarse
entropy_reduction,12.0,0.2,376.37080265353444,coarse
entropy_reduction,16.0,0.2,447.159923295584,coarse
entropy_reduction,24.0,0.2,633.363747161478,coarse
entropy_reduction,32.0,0.2,869.1844009864707,coarse
