model,variant,eta,lambda,n_params,actions,in_sample_nll,heldout_nll,heldout_nll_per_action,aic,bic,delta_heldout_nll
"no signaling, lambda=.2",none,,0.2,0,282,260.27267418654003,260.27267418653963,0.9229527453423392,520.5453483730801,520.5453483730801,0.0
information gain: target posterior lift,posterior_lift,0.0,0.2,1,282,260.27267418654003,260.27267418653963,0.9229527453423392,522.5453483730801,526.1872554440182,0.0
information gain: entropy reduction,entropy_reduction,0.5,0.2,1,282,259.9489002333076,261.5261851434783,0.9273978196577245,521.8978004666152,525.5397075375533,1.253510956938669
trial-level best lambda=.15 alpha=.5,rsa,0.5,0.15,0,282,272.0516393222533,272.05163932225315,0.9647221252562168,544.1032786445066,544.1032786445066,11.77896513571352
constant RSA alpha=1,rsa,1.0,0.2,0,282,279.26826680131904,279.2682668013193,0.9903130028415579,558.5365336026381,558.5365336026381,18.995592614779696
