key,label,raw_trials,lambda,rho,fit_objective
shared_agency_no_signaling_lambda02,Shared agency no signaling,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/shared_agency_costly_mixture_rho_sweep/costly_mixture_rho_sweep/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p2_alpha_0_score_costly_mixture_sessions_0_to_29.json.zst,0.2,0.0,reference
shared_agency_costly_mixture_best_rho,Shared agency Communicative Action Mixture (Legibility Over Alternatives),/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/shared_agency_costly_mixture_rho_sweep/costly_mixture_rho_sweep/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p2_alpha_0p5_score_costly_mixture_sessions_0_to_29.json.zst,0.2,0.5,commitment_plus_signaling_nll
