eta,lambda,negative_log_likelihood,expected_signal_move,expected_btom_legibility,expected_mean_log_odds,fit_stage
0.0,0.2,260.27267418654003,0.7117353321659678,0.769835861428342,3.1420840697191137,coarse
0.0025,0.2,260.2857870329803,0.7131604979680412,0.7706870922283552,3.150865398160569,refine
0.005,0.2,260.30370414053175,0.7145843318070955,0.7715370724816681,3.1596318278840205,refine
0.0075,0.2,260.3264200136384,0.7160067103960323,0.7723857429634375,3.1683828083759753,refine
0.01,0.2,260.3539282738697,0.7174275098063199,0.7732330437129656,3.1771177801570234,coarse
0.025,0.2,260.6191522229195,0.7259121445925248,0.778284648568203,3.2291591326900653,coarse
0.05,0.2,261.4373690299053,0.7398432472825563,0.7865527124829436,3.3142188220110063,coarse
0.1,0.2,264.4171687223294,0.7664804848460023,0.8022945898441,3.475860943990849,coarse
0.2,0.2,274.95482392212534,0.8121616775490111,0.8291628639561442,3.7511538602518306,coarse
0.4,0.2,306.99041729586713,0.8672100452148912,0.8614095400704089,4.080961263152858,coarse
0.8,0.2,381.268980160901,0.8953295080078172,0.8777667324843601,4.247946645046748,coarse
1.2,0.2,451.0360655332917,0.8983543461369667,0.8794271527726125,4.264712336523663,coarse
1.6,0.2,505.2300388841103,0.8988331763407288,0.8796094370702507,4.266395830021679,coarse
2.0,0.2,540.7857742204533,0.8990489359783572,0.8796513049608258,4.2666670274127405,coarse
3.0,0.2,597.6843064031132,0.8994064848075981,0.8797044673627729,4.266916044902467,coarse
5.0,0.2,666.6130500792003,0.8997495017900193,0.8797514332147313,4.267121852203736,coarse
8.0,0.2,712.5342990264807,0.8999190742708517,0.8797668341328946,4.2671877201239194,coarse
12.0,0.2,773.7717732967735,0.9000321951960579,0.8797689817917507,4.267197038803169,coarse
16.0,0.2,834.6012135094145,0.9001329895086166,0.8797691235691613,4.267197906858231,coarse
