model,eta,lambda,n_params,actions,in_sample_nll,heldout_nll,heldout_nll_per_action,expected_signal_move,expected_btom_legibility,expected_mean_log_odds,aic,bic,delta_heldout_nll
"no signaling, lambda=.2",0.0,0.2,0,688,437.4377522635165,437.43775226351704,0.6358106864295305,0.7429764933754364,0.881814832165695,14.290685922665455,874.875504527033,874.875504527033,0.0
log-odds legibility utility,0.03,0.2,1,688,436.69425453812744,438.0970882547952,0.6367690236261558,0.7567376929883987,0.8843225033847953,14.373051898939874,875.3885090762549,879.9222979141882,0.6593359912781693
constant RSA alpha=1,1.0,0.2,0,688,467.4481313662003,467.4481313662004,0.6794304234973844,0.9005315546596485,0.908868443053515,15.185983982482632,934.8962627324006,934.8962627324006,30.010379102683373
trial-level best lambda=.15 alpha=.5,0.5,0.15,0,688,469.94455692469387,469.9445569246947,0.6830589490184517,0.8823076455153273,0.9064281175167638,15.096499248231197,939.8891138493877,939.8891138493877,32.50680466117768
