model,eta,lambda,n_params,actions,in_sample_nll,heldout_nll,heldout_nll_per_action,expected_signal_move,expected_btom_legibility,expected_mean_log_odds,aic,bic,delta_heldout_nll
"no signaling, lambda=.2",0.0,0.2,0,282,260.27267418654003,260.27267418653963,0.9229527453423392,0.7117353321659678,0.769835861428342,3.1420840697191137,520.5453483730801,520.5453483730801,0.0
log-odds legibility utility,0.0,0.2,1,282,260.27267418654003,260.74055904453894,0.9246119115054572,0.7117353321659678,0.769835861428342,3.1420840697191137,522.5453483730801,526.1872554440182,0.4678848579993087
trial-level best lambda=.15 alpha=.5,0.5,0.15,0,282,272.0516393222533,272.05163932225315,0.9647221252562168,0.8805315676375877,0.8691870776058918,4.160419869810819,544.1032786445066,544.1032786445066,11.77896513571352
constant RSA alpha=1,1.0,0.2,0,282,279.26826680131904,279.2682668013193,0.9903130028415579,0.8975841995671071,0.8790301784969818,4.260753904769158,558.5365336026381,558.5365336026381,18.995592614779696
