model,eta,lambda,n_params,actions,in_sample_nll,heldout_nll,heldout_nll_per_action,expected_signal_move,expected_btom_legibility,expected_mean_log_odds,aic,bic,delta_heldout_nll
"no signaling, lambda=.2",0.0,0.2,0,254,172.99541717331968,172.99541717331957,0.6810843195799983,0.7342215611075029,0.8346094489116069,8.874028897202773,345.99083434663936,345.99083434663936,0.0
log-odds legibility utility,0.0125,0.2,1,254,172.9350408778733,173.24178437758263,0.6820542692030812,0.7407852400327166,0.8361122057796934,8.914984045704943,347.8700817557466,351.4074160227651,0.24636720426306624
constant RSA alpha=1,1.0,0.2,0,254,189.34986410333806,189.34986410333812,0.745471905918654,0.9041314693804168,0.8732691080462269,9.900147144709258,378.6997282066761,378.6997282066761,16.354446930018554
trial-level best lambda=.15 alpha=.5,0.5,0.15,0,254,190.99051009086796,190.99051009086793,0.7519311420900312,0.8885149499980564,0.8697505493349075,9.80890679829692,381.9810201817359,381.9810201817359,17.995092917548362
