eta,lambda,negative_log_likelihood,expected_signal_move,expected_btom_legibility,expected_mean_log_odds,fit_stage
0.0,0.2,437.4377522635165,0.7429764933754364,0.881814832165695,14.290685922665455,coarse
0.01,0.2,437.0277455757406,0.7475907579066481,0.882656613245544,14.31839901082334,coarse
0.02,0.2,436.7803407509274,0.7521797478846387,0.8834928429549305,14.345862301952138,refine
0.025,0.2,436.7172231814847,0.7544629648542891,0.8839085588235567,14.359492868272524,coarse
0.03,0.2,436.69425453812744,0.7567376929883987,0.8843225033847953,14.373051898939874,refine
0.04,0.2,436.7679444056785,0.7612587622991207,0.885144558352084,14.399942461875833,refine
0.05,0.2,436.99961259335277,0.7657371308132956,0.8859579667961233,14.426507717626555,coarse
0.1,0.2,440.4479337097127,0.7872925291153535,0.8898600426963873,14.553526369596446,coarse
0.2,0.2,457.56466085566996,0.8244403198619096,0.8965178647723402,14.769718723794698,coarse
0.4,0.2,519.9013860860063,0.8704590691809198,0.9045028460157041,15.031569211944195,coarse
0.8,0.2,686.1412121139232,0.8972822747999203,0.9085535874095946,15.172579582762209,coarse
1.2,0.2,856.731028939464,0.9021620917413758,0.9089690398471305,15.191286769122826,coarse
1.6,0.2,1007.53084027273,0.9037847028786286,0.9090187512065818,15.194916667888963,coarse
2.0,0.2,1130.315723494666,0.9046661706388717,0.9090332260899381,15.196139050912977,coarse
3.0,0.2,1376.8829793458767,0.9058963364461665,0.9090541098615205,15.197275504933598,coarse
5.0,0.2,1696.2669580459385,0.9068801214527803,0.9090728629477779,15.197980021894171,coarse
8.0,0.2,1765.5596068514349,0.9072138453583505,0.9090790349881834,15.198193847279278,coarse
12.0,0.2,1823.3559285221004,0.907290713330953,0.9090798993949127,15.198223706865443,coarse
16.0,0.2,1879.3729992861909,0.9073267949475395,0.9090799595371291,15.198225918598702,coarse
