rho,lambda,negative_log_likelihood,expected_signal_move,expected_btom_legibility,expected_mean_log_odds,fit_stage
0.0,0.2,437.4377522635165,0.7429764933754364,0.881814832165695,14.290685922665455,coarse
0.05,0.2,436.7004508703311,0.7508542464396469,0.8831675127100863,14.335450825656311,coarse
0.075,0.2,436.51409123338016,0.7547931229717522,0.8838438529822816,14.357833277151741,refine
0.1,0.2,436.44917471239285,0.7587319995038576,0.8845201932544771,14.38021572864717,coarse
0.125,0.2,436.50618373015686,0.762670876035963,0.8851965335266726,14.402598180142599,refine
0.15,0.2,436.68604903693523,0.7666097525680682,0.885872873798868,14.424980631638032,coarse
0.2,0.2,437.4204195936875,0.7744875056322787,0.8872255543432591,14.469745534628888,coarse
0.25,0.2,438.66949847221224,0.7823652586964895,0.8885782348876502,14.514510437619748,coarse
0.3,0.2,440.4594765554805,0.7902430117607,0.8899309154320412,14.559275340610606,coarse
0.35,0.2,442.82724746172966,0.7981207648249106,0.8912835959764321,14.604040243601466,coarse
0.4,0.2,445.82298441499825,0.8059985178891214,0.8926362765208232,14.648805146592325,coarse
0.45,0.2,449.51396949295315,0.8138762709533319,0.8939889570652141,14.693570049583185,coarse
0.5,0.2,453.99034793714134,0.8217540240175424,0.8953416376096051,14.738334952574043,coarse
0.55,0.2,459.37397794743737,0.8296317770817531,0.896694318153996,14.7830998555649,coarse
0.6,0.2,465.8325048092596,0.8375095301459635,0.8980469986983869,14.82786475855576,coarse
0.65,0.2,473.6027552553248,0.8453872832101743,0.8993996792427782,14.87262966154662,coarse
0.7,0.2,483.03190717398513,0.8532650362743849,0.9007523597871692,14.917394564537478,coarse
0.75,0.2,494.6555215687439,0.8611427893385954,0.90210504033156,14.962159467528334,coarse
0.8,0.2,509.3608877039809,0.8690205424028061,0.903457720875951,15.006924370519194,coarse
0.85,0.2,528.7802749284434,0.8768982954670167,0.9048104014203421,15.051689273510055,coarse
0.9,0.2,556.4639984200863,0.8847760485312273,0.9061630819647332,15.096454176500915,coarse
0.95,0.2,603.0388353193617,0.8926538015954378,0.9075157625091241,15.141219079491771,coarse
1.0,0.2,772.6109984189976,0.9005315546596485,0.908868443053515,15.185983982482632,coarse
