model,rho,lambda,n_params,actions,in_sample_nll,heldout_nll,heldout_nll_per_action,expected_signal_move,expected_btom_legibility,expected_mean_log_odds,aic,bic,delta_heldout_nll
"no signaling, lambda=.2",0.0,0.2,0,282,260.27267418654003,260.27267418653963,0.9229527453423392,0.7117353321659678,0.769835861428342,3.1420840697191137,520.5453483730801,520.5453483730801,0.0
communicative action mixture rho fit,0.0125,0.2,1,282,260.26561027248493,260.96929380475893,0.9254230276764501,0.7140584430084822,0.7712007903917001,3.156067442657239,522.5312205449699,526.173127615908,0.6966196182193016
trial-level rho=0.5,0.5,0.2,0,282,271.84899700301565,271.8489970030157,0.9640035354716869,0.8046597658665375,0.8244330199626619,3.701418987244135,543.6979940060313,543.6979940060313,11.576322816476079
