model,rho,lambda,n_params,actions,in_sample_nll,heldout_nll,heldout_nll_per_action,expected_signal_move,expected_btom_legibility,expected_mean_log_odds,aic,bic,delta_heldout_nll
"no signaling, lambda=.2",0.0,0.2,0,688,437.4377522635165,437.43775226351704,0.6358106864295305,0.7429764933754364,0.881814832165695,14.290685922665455,874.875504527033,874.875504527033,0.0
communicative action mixture rho fit,0.1,0.2,1,688,436.44917471239285,438.11734398749326,0.6367984650981007,0.7587319995038576,0.8845201932544771,14.38021572864717,874.8983494247857,879.432138262719,0.6795917239762161
trial-level rho=0.5,0.5,0.2,0,688,453.99034793714134,453.99034793714156,0.6598696917691012,0.8217540240175424,0.8953416376096051,14.738334952574043,907.9806958742827,907.9806958742827,16.552595673624523
