model,rho,lambda,n_params,actions,in_sample_nll,heldout_nll,heldout_nll_per_action,expected_signal_move,expected_btom_legibility,expected_mean_log_odds,aic,bic,delta_heldout_nll
"no signaling, lambda=.2",0.0,0.2,0,254,172.99541717331968,172.99541717331957,0.6810843195799983,0.7342215611075029,0.8346094489116069,8.874028897202773,345.99083434663936,345.99083434663936,0.0
communicative action mixture rho fit,0.05,0.2,1,254,172.94592073591522,173.2667582227313,0.682152591428076,0.7427170565211485,0.836542431868338,8.925334809578096,347.89184147183045,351.429175738849,0.2713410494117454
trial-level rho=0.5,0.5,0.2,0,254,182.14361859345922,182.14361859345914,0.7171008606041699,0.8191765152439598,0.8539392784789169,9.387088020956014,364.28723718691845,364.28723718691845,9.148201420139571
