rho,lambda,negative_log_likelihood,expected_signal_move,expected_btom_legibility,expected_mean_log_odds,fit_stage
0.0,0.2,260.27267418654003,0.7117353321659678,0.769835861428342,3.1420840697191137,coarse
0.0125,0.2,260.26561027248493,0.7140584430084822,0.7712007903917001,3.156067442657239,refine
0.025,0.2,260.2726370361544,0.7163815538509964,0.7725657193550581,3.170050815595365,refine
0.0375,0.2,260.2937148932476,0.7187046646935106,0.7739306483184161,3.18403418853349,refine
0.05,0.2,260.32881644482313,0.7210277755360249,0.7752955772817741,3.1980175614716155,coarse
0.1,0.2,260.6093371153343,0.7303202189060819,0.7807552931352061,3.253951053224118,coarse
0.15,0.2,261.1152209418621,0.7396126622761388,0.786215008988638,3.30988454497662,coarse
0.2,0.2,261.85068659799646,0.7489051056461957,0.7916747248420701,3.365818036729123,coarse
0.25,0.2,262.82345658591845,0.7581975490162527,0.7971344406955021,3.4217515284816242,coarse
0.3,0.2,264.04523174465595,0.7674899923863097,0.8025941565489341,3.4776850202341265,coarse
0.35,0.2,265.53243221470626,0.7767824357563666,0.808053872402366,3.533618511986629,coarse
0.4,0.2,267.30730858188366,0.7860748791264236,0.813513588255798,3.5895520037391306,coarse
0.45,0.2,269.3995953278809,0.7953673224964806,0.81897330410923,3.645485495491633,coarse
0.5,0.2,271.84899700301565,0.8046597658665375,0.8244330199626619,3.701418987244135,coarse
0.55,0.2,274.7090132128374,0.8139522092365945,0.829892735816094,3.7573524789966375,coarse
0.6,0.2,278.0530244423329,0.8232446526066516,0.8353524516695261,3.81328597074914,coarse
0.65,0.2,281.98441608279825,0.8325370959767084,0.840812167522958,3.8692194625016425,coarse
0.7,0.2,286.6544180901109,0.8418295393467654,0.84627188337639,3.925152954254145,coarse
0.75,0.2,292.2959847001952,0.8511219827168225,0.851731599229822,3.981086446006646,coarse
0.8,0.2,299.2949136475539,0.8604144260868793,0.8571913150832541,4.037019937759148,coarse
0.85,0.2,308.36170599826335,0.8697068694569363,0.862651030936686,4.092953429511651,coarse
0.9,0.2,321.04666410635537,0.8789993128269933,0.868110746790118,4.148886921264153,coarse
0.95,0.2,342.0178476105743,0.8882917561970504,0.8735704626435499,4.204820413016655,coarse
1.0,0.2,417.427512812882,0.8975841995671071,0.8790301784969818,4.260753904769158,coarse
