rho,lambda,negative_log_likelihood,expected_signal_move,expected_btom_legibility,expected_mean_log_odds,fit_stage
0.0,0.2,172.99541717331968,0.7342215611075029,0.8346094489116069,8.874028897202773,coarse
0.025,0.2,172.94639685127711,0.7384693088143257,0.8355759403899725,8.899681853390433,refine
0.05,0.2,172.94592073591522,0.7427170565211485,0.836542431868338,8.925334809578096,coarse
0.075,0.2,172.99390781996203,0.7469648042279714,0.8375089233467036,8.95098776576576,refine
0.1,0.2,173.0904516617627,0.7512125519347943,0.8384754148250689,8.97664072195342,coarse
0.15,0.2,173.43047443179847,0.75970804734844,0.8404083977818,9.027946634328744,coarse
0.2,0.2,173.97038499509154,0.7682035427620857,0.842341380738531,9.079252546704069,coarse
0.25,0.2,174.7177903041535,0.7766990381757313,0.8442743636952619,9.130558459079392,coarse
0.3,0.2,175.68398142327547,0.785194533589377,0.846207346651993,9.181864371454717,coarse
0.35,0.2,176.88466167967232,0.7936900290030227,0.848140329608724,9.233170283830042,coarse
0.4,0.2,178.3410320890411,0.8021855244166685,0.8500733125654549,9.284476196205366,coarse
0.45,0.2,180.0814032069815,0.8106810198303142,0.852006295522186,9.33578210858069,coarse
0.5,0.2,182.14361859345922,0.8191765152439598,0.8539392784789169,9.387088020956014,coarse
0.55,0.2,184.5787869717236,0.8276720106576057,0.855872261435648,9.438393933331337,coarse
0.6,0.2,187.45722916596833,0.8361675060712513,0.857805244392379,9.48969984570666,coarse
0.65,0.2,190.87838741342796,0.844663001484897,0.85973822734911,9.541005758081987,coarse
0.7,0.2,194.98831438718884,0.8531584968985427,0.8616712103058409,9.592311670457311,coarse
0.75,0.2,200.0129320015661,0.8616539923121883,0.863604193262572,9.643617582832636,coarse
0.8,0.2,206.3279166091306,0.8701494877258341,0.8655371762193029,9.69492349520796,coarse
0.85,0.2,214.62767007465237,0.8786449831394798,0.867470159176034,9.746229407583284,coarse
0.9,0.2,226.43183423890318,0.8871404785531255,0.869403142132765,9.797535319958607,coarse
0.95,0.2,246.3259665919677,0.8956359739667712,0.871336125089496,9.84884123233393,coarse
1.0,0.2,320.0627931391651,0.9041314693804168,0.8732691080462269,9.900147144709258,coarse
