participantId,group,posterior,plotGroup
session_0_player2,sampleJointGoalAndSignal_afterNewGoal,0.8231234108034453,"sampleJointGoal+Signal
afterNewGoal"
session_0_player2,sampleJointGoalAndSignal_fromStart,0.8239749845013136,"sampleJointGoal+Signal
fromStart"
session_0_player2,sampleJointGoal_afterNewGoal,0.7057865486641819,"sampleJointGoal
afterNewGoal"
session_0_player2,samplePosteriorOnlyGoalAndSignal_fromStart,0.7201678452437514,"samplePosteriorOnlyGoal+Signal
fromStart"
session_10_player1,TwoStageSignalAgent_sigmoidThreshold,0.7939016631953852,"TwoStageSignal
sigmoidThreshold"
session_10_player1,sampleJointGoalAndRSASignal_fromStart,0.7764792386233988,"sampleJointGoal+RSA
(shared-agency model)
fromStart"
session_10_player1,sampleJointGoalAndSignal_afterNewGoal,0.7735569281844702,"sampleJointGoal+Signal
afterNewGoal"
session_10_player1,sampleJointGoalAndSignal_fromStart,0.7871712345155312,"sampleJointGoal+Signal
fromStart"
session_10_player1,sampleJointGoal_afterNewGoal,0.7440306786908394,"sampleJointGoal
afterNewGoal"
session_10_player1,samplePosteriorOnlyGoalAndSignal_fromStart,0.7166482985950325,"samplePosteriorOnlyGoal+Signal
fromStart"
session_10_player2,TwoStageSignalAgent_sigmoidThreshold,0.731633186215658,"TwoStageSignal
sigmoidThreshold"
session_10_player2,sampleJointGoalAndRSASignal_fromStart,0.7637254832849375,"sampleJointGoal+RSA
(shared-agency model)
fromStart"
session_10_player2,sampleJointGoalAndSignal_afterNewGoal,0.7618493878153245,"sampleJointGoal+Signal
afterNewGoal"
session_10_player2,sampleJointGoalAndSignal_fromStart,0.6826643833782488,"sampleJointGoal+Signal
fromStart"
session_10_player2,sampleJointGoal_afterNewGoal,0.726551118700938,"sampleJointGoal
afterNewGoal"
session_10_player2,samplePosteriorOnlyGoalAndSignal_fromStart,0.6990661938054439,"samplePosteriorOnlyGoal+Signal
fromStart"
session_11_player1,TwoStageSignalAgent_sigmoidThreshold,0.7432393910814957,"TwoStageSignal
sigmoidThreshold"
session_11_player1,sampleJointGoalAndRSASignal_fromStart,0.835592956122619,"sampleJointGoal+RSA
(shared-agency model)
fromStart"
session_11_player1,sampleJointGoalAndSignal_afterNewGoal,0.7201334308157107,"sampleJointGoal+Signal
afterNewGoal"
session_11_player1,sampleJointGoalAndSignal_fromStart,0.8513898869634096,"sampleJointGoal+Signal
fromStart"
session_11_player1,sampleJointGoal_afterNewGoal,0.784341625559707,"sampleJointGoal
afterNewGoal"
session_11_player1,samplePosteriorOnlyGoalAndSignal_fromStart,0.8094658167377125,"samplePosteriorOnlyGoal+Signal
fromStart"
session_11_player2,TwoStageSignalAgent_sigmoidThreshold,0.7568015723620825,"TwoStageSignal
sigmoidThreshold"
session_11_player2,sampleJointGoalAndRSASignal_fromStart,0.8741590946787663,"sampleJointGoal+RSA
(shared-agency model)
fromStart"
session_11_player2,sampleJointGoalAndSignal_afterNewGoal,0.729921800004551,"sampleJointGoal+Signal
afterNewGoal"
session_11_player2,sampleJointGoalAndSignal_fromStart,0.818904947881192,"sampleJointGoal+Signal
fromStart"
session_11_player2,sampleJointGoal_afterNewGoal,0.750915920530772,"sampleJointGoal
afterNewGoal"
session_11_player2,samplePosteriorOnlyGoalAndSignal_fromStart,0.793892490618069,"samplePosteriorOnlyGoal+Signal
fromStart"
session_12_player1,TwoStageSignalAgent_sigmoidThreshold,0.8272279219164967,"TwoStageSignal
sigmoidThreshold"
session_12_player1,sampleJointGoalAndRSASignal_fromStart,0.8250833878691376,"sampleJointGoal+RSA
(shared-agency model)
fromStart"
session_12_player1,sampleJointGoalAndSignal_afterNewGoal,0.7626053080546372,"sampleJointGoal+Signal
afterNewGoal"
session_12_player1,sampleJointGoalAndSignal_fromStart,0.8255874640137183,"sampleJointGoal+Signal
fromStart"
session_12_player1,sampleJointGoal_afterNewGoal,0.7000654291285752,"sampleJointGoal
afterNewGoal"
session_12_player1,samplePosteriorOnlyGoalAndSignal_fromStart,0.8292963564914153,"samplePosteriorOnlyGoal+Signal
fromStart"
session_12_player2,TwoStageSignalAgent_sigmoidThreshold,0.779589087825658,"TwoStageSignal
sigmoidThreshold"
session_12_player2,sampleJointGoalAndRSASignal_fromStart,0.8175672131099149,"sampleJointGoal+RSA
(shared-agency model)
fromStart"
session_12_player2,sampleJointGoalAndSignal_afterNewGoal,0.8066012519112037,"sampleJointGoal+Signal
afterNewGoal"
session_12_player2,sampleJointGoalAndSignal_fromStart,0.784121433072564,"sampleJointGoal+Signal
fromStart"
session_12_player2,sampleJointGoal_afterNewGoal,0.6390905217606886,"sampleJointGoal
afterNewGoal"
session_12_player2,samplePosteriorOnlyGoalAndSignal_fromStart,0.6762108284469632,"samplePosteriorOnlyGoal+Signal
fromStart"
session_13_player1,TwoStageSignalAgent_sigmoidThreshold,0.7824399531219083,"TwoStageSignal
sigmoidThreshold"
session_13_player1,sampleJointGoalAndRSASignal_fromStart,0.8032101027355836,"sampleJointGoal+RSA
(shared-agency model)
fromStart"
session_13_player1,sampleJointGoalAndSignal_afterNewGoal,0.6939826170076202,"sampleJointGoal+Signal
afterNewGoal"
session_13_player1,sampleJointGoalAndSignal_fromStart,0.7315906592534688,"sampleJointGoal+Signal
fromStart"
session_13_player1,sampleJointGoal_afterNewGoal,0.7678233834640363,"sampleJointGoal
afterNewGoal"
session_13_player1,samplePosteriorOnlyGoalAndSignal_fromStart,0.7629410937052835,"samplePosteriorOnlyGoal+Signal
fromStart"
session_13_player2,TwoStageSignalAgent_sigmoidThreshold,0.7467974052799485,"TwoStageSignal
sigmoidThreshold"
session_13_player2,sampleJointGoalAndRSASignal_fromStart,0.8302024650928077,"sampleJointGoal+RSA
(shared-agency model)
fromStart"
session_13_player2,sampleJointGoalAndSignal_afterNewGoal,0.7834372525708425,"sampleJointGoal+Signal
afterNewGoal"
session_13_player2,sampleJointGoalAndSignal_fromStart,0.7872496118497873,"sampleJointGoal+Signal
fromStart"
session_13_player2,sampleJointGoal_afterNewGoal,0.7128862790229783,"sampleJointGoal
afterNewGoal"
session_13_player2,samplePosteriorOnlyGoalAndSignal_fromStart,0.6225609950507471,"samplePosteriorOnlyGoal+Signal
fromStart"
session_14_player1,TwoStageSignalAgent_sigmoidThreshold,0.8015900286421025,"TwoStageSignal
sigmoidThreshold"
session_14_player1,sampleJointGoalAndRSASignal_fromStart,0.8995031778547942,"sampleJointGoal+RSA
(shared-agency model)
fromStart"
session_14_player1,sampleJointGoalAndSignal_afterNewGoal,0.8200855974671067,"sampleJointGoal+Signal
afterNewGoal"
session_14_player1,sampleJointGoalAndSignal_fromStart,0.7484667751976722,"sampleJointGoal+Signal
fromStart"
session_14_player1,sampleJointGoal_afterNewGoal,0.8422737320716026,"sampleJointGoal
afterNewGoal"
session_14_player1,samplePosteriorOnlyGoalAndSignal_fromStart,0.8027399585305722,"samplePosteriorOnlyGoal+Signal
fromStart"
session_14_player2,TwoStageSignalAgent_sigmoidThreshold,0.8108075572949165,"TwoStageSignal
sigmoidThreshold"
session_14_player2,sampleJointGoalAndRSASignal_fromStart,0.8587886647118351,"sampleJointGoal+RSA
(shared-agency model)
fromStart"
session_14_player2,sampleJointGoalAndSignal_afterNewGoal,0.7625647372023939,"sampleJointGoal+Signal
afterNewGoal"
session_14_player2,sampleJointGoalAndSignal_fromStart,0.655582803540497,"sampleJointGoal+Signal
fromStart"
session_14_player2,sampleJointGoal_afterNewGoal,0.7841683252668649,"sampleJointGoal
afterNewGoal"
session_14_player2,samplePosteriorOnlyGoalAndSignal_fromStart,0.7776304982874095,"samplePosteriorOnlyGoal+Signal
fromStart"
session_15_player1,TwoStageSignalAgent_sigmoidThreshold,0.8466809340705814,"TwoStageSignal
sigmoidThreshold"
session_15_player1,sampleJointGoalAndRSASignal_fromStart,0.8219776489126929,"sampleJointGoal+RSA
(shared-agency model)
fromStart"
session_15_player1,sampleJointGoalAndSignal_afterNewGoal,0.7764488942396043,"sampleJointGoal+Signal
afterNewGoal"
session_15_player1,sampleJointGoalAndSignal_fromStart,0.8200952308466479,"sampleJointGoal+Signal
fromStart"
session_15_player1,sampleJointGoal_afterNewGoal,0.722154676276622,"sampleJointGoal
afterNewGoal"
session_15_player1,samplePosteriorOnlyGoalAndSignal_fromStart,0.7313004199515244,"samplePosteriorOnlyGoal+Signal
fromStart"
session_15_player2,TwoStageSignalAgent_sigmoidThreshold,0.8471060218764034,"TwoStageSignal
sigmoidThreshold"
session_15_player2,sampleJointGoalAndRSASignal_fromStart,0.7304177769223608,"sampleJointGoal+RSA
(shared-agency model)
fromStart"
session_15_player2,sampleJointGoalAndSignal_afterNewGoal,0.8003092808265019,"sampleJointGoal+Signal
afterNewGoal"
session_15_player2,sampleJointGoalAndSignal_fromStart,0.7931644265603578,"sampleJointGoal+Signal
fromStart"
session_15_player2,sampleJointGoal_afterNewGoal,0.7540535333237942,"sampleJointGoal
afterNewGoal"
session_15_player2,samplePosteriorOnlyGoalAndSignal_fromStart,0.7795678586783383,"samplePosteriorOnlyGoal+Signal
fromStart"
session_16_player1,TwoStageSignalAgent_sigmoidThreshold,0.7377227740351556,"TwoStageSignal
sigmoidThreshold"
session_16_player1,sampleJointGoalAndRSASignal_fromStart,0.7899143785464414,"sampleJointGoal+RSA
(shared-agency model)
fromStart"
session_16_player1,sampleJointGoalAndSignal_afterNewGoal,0.8340691661295834,"sampleJointGoal+Signal
afterNewGoal"
session_16_player1,sampleJointGoalAndSignal_fromStart,0.778766988718932,"sampleJointGoal+Signal
fromStart"
session_16_player1,sampleJointGoal_afterNewGoal,0.7800870240546383,"sampleJointGoal
afterNewGoal"
session_16_player1,samplePosteriorOnlyGoalAndSignal_fromStart,0.635273399055059,"samplePosteriorOnlyGoal+Signal
fromStart"
session_16_player2,TwoStageSignalAgent_sigmoidThreshold,0.7674117672726682,"TwoStageSignal
sigmoidThreshold"
session_16_player2,sampleJointGoalAndRSASignal_fromStart,0.6645836375347202,"sampleJointGoal+RSA
(shared-agency model)
fromStart"
session_16_player2,sampleJointGoalAndSignal_afterNewGoal,0.8432852325362523,"sampleJointGoal+Signal
afterNewGoal"
session_16_player2,sampleJointGoalAndSignal_fromStart,0.8730671127151962,"sampleJointGoal+Signal
fromStart"
