group,participantId,sessionIndex,trialIndex,playerIndex,distanceCondition,nSteps,posteriors
sampleJointGoalAndRSASignal_fromStart,session_0_player1,0,1,1,closer_to_player1,7,"[0.5, 0.4940776807566307, 0.5367359871856892, 0.6077610730591092, 1.0, 1.0, 1.0]"
sampleJointGoalAndRSASignal_fromStart,session_0_player2,0,1,2,closer_to_player1,9,"[0.5, 0.5038649626725829, 0.5058347432439424, 0.5010466743651489, 0.5846517937329585, 0.6559606885227923, 0.5788606174476209, 0.7333170248150067, 0.8470305654076322]"
sampleJointGoalAndRSASignal_fromStart,session_0_player1,0,4,1,closer_to_player2,8,"[0.5, 0.6353821695888391, 0.9833349860481368, 0.9772000302505841, 0.9997590817247319, 0.999799952773245, 0.9999972209794296, 0.9999983316815452]"
sampleJointGoalAndRSASignal_fromStart,session_0_player2,0,4,2,closer_to_player2,10,"[0.5, 0.999198407478336, 0.9992271407073631, 0.9999993634750642, 0.9999995529542868, 0.999999999398946, 0.9999999997094856, 0.9999999999163004, 0.9999999999999363, 1.0]"
sampleJointGoalAndRSASignal_fromStart,session_0_player1,0,5,1,closer_to_player1,11,"[0.5, 0.999540207612654, 0.9997345866044267, 0.999999598551281, 0.9999999995604859, 0.9999952134739665, 0.9999999943333249, 0.9999999999899443, 0.999999999999953, 0.9999999999999999, 1.0]"
sampleJointGoalAndRSASignal_fromStart,session_0_player2,0,5,2,closer_to_player1,9,"[0.5, 0.5033920321879745, 0.9897012517087422, 0.9898622541469845, 0.9998937075417748, 0.9998947178445968, 0.9998554433307624, 0.9999995552955435, 0.9999999976558196]"
sampleJointGoalAndRSASignal_fromStart,session_0_player1,0,6,1,closer_to_player1,9,"[0.5, 0.6234319518219219, 0.9996814815298627, 0.9995652201288019, 0.9994210779774861, 0.9999999665530033, 0.9999999999939019, 0.9999999999969518, 0.9999999999984862]"
sampleJointGoalAndRSASignal_fromStart,session_0_player2,0,6,2,closer_to_player1,9,"[0.5, 0.5035279324580101, 0.5058031632949075, 0.5066721859647, 0.5078202214830568, 0.5140907075227782, 0.5631968590072736, 0.563816660911936, 0.5640357375196899]"
sampleJointGoalAndRSASignal_fromStart,session_0_player1,0,7,1,closer_to_player2,12,"[0.5, 0.5024452095994355, 0.9896167939200046, 0.9897856160120151, 0.9898874283602811, 0.9999375039550935, 0.9999381486413237, 0.9999265421764039, 0.9999998749847371, 6.953693553498976e-27, 1.6433056234840928e-24, 1.6433056234840926e-24]"
sampleJointGoalAndRSASignal_fromStart,session_0_player2,0,7,2,closer_to_player2,9,"[0.5, 0.5057111662358658, 0.9998327308242728, 0.9999013983865394, 0.999999949128628, 0.9999999999753758, 0.9999999999999799, 1.0, 1.0]"
sampleJointGoalAndRSASignal_fromStart,session_0_player1,0,10,1,closer_to_player2,9,"[0.5, 0.5034829801011805, 0.5051874762040327, 0.507002352110262, 0.5024597527686199, 0.5087322769167234, 0.5579141080971608, 0.5585355234087966, 0.5587551768942465]"
sampleJointGoalAndRSASignal_fromStart,session_0_player2,0,10,2,closer_to_player2,10,"[0.5, 0.5062849490481464, 0.5097948551514718, 0.51595875515717, 0.47299151581511956, 0.4015802734140155, 4.647779041556271e-34, 1.414698210122135e-39, 1.1879727148575316e-39, 3.721614565601449e-06]"
sampleJointGoalAndRSASignal_fromStart,session_0_player1,0,11,1,equal_to_both,10,"[0.5, 0.9937602761253137, 0.9999324353606758, 0.9999347237149948, 0.9999993079606333, 0.9999993238098831, 0.9999993604830897, 0.9999999957012903, 0.9999999970549082, 0.9999999999816035]"
sampleJointGoalAndRSASignal_fromStart,session_0_player2,0,11,2,equal_to_both,12,"[0.5, 0.006151153060083188, 0.6458182093151499, 0.9966173217439238, 0.9966419289595414, 0.9966617315339806, 0.9999886124014516, 0.9999999281387211, 0.9999999320255052, 0.9999999468792897, 0.9999999998215283, 0.9999999999988852]"
sampleJointGoalAndRSASignal_fromStart,session_1_player1,1,0,1,closer_to_player1,11,"[0.5, 0.002405615355417397, 0.0036643808130721266, 0.9582901977751757, 0.9999862390839416, 0.9999999976224507, 0.9999999999990318, 0.9999999999999991, 1.0, 1.0, 1.0]"
sampleJointGoalAndRSASignal_fromStart,session_1_player2,1,0,2,closer_to_player1,11,"[0.5, 0.9832111864272776, 0.9995552527348353, 0.6504892364756486, 0.6562302905959708, 0.6598284749453023, 0.9946746880805724, 0.994727987171357, 0.9928317224224048, 0.99997687512848, 0.9999998722138715]"
sampleJointGoalAndRSASignal_fromStart,session_1_player1,1,2,1,equal_to_both,11,"[0.5, 0.4999140332050559, 0.4998929781485141, 0.9966450092797018, 0.9999792774388707, 0.9999794737486313, 0.9999998753359985, 0.9999998761601987, 0.9999999993782829, 0.9999999993023836, 0.9999999999970026]"
sampleJointGoalAndRSASignal_fromStart,session_1_player2,1,2,2,equal_to_both,11,"[0.5, 0.9892761997717002, 0.9895452051060162, 0.9998880483550959, 0.9998900587006473, 0.9999988360847081, 0.9999999797438291, 0.9999999990761514, 0.9999999995704771, 0.9999999998060638, 0.9999999999440704]"
