participantId,group,stepFromNewGoal,posterior,plotGroup
always_committed_session_13_player1,sampleJointGoal_fromStart,5,0.8900613002476996,"sampleJointGoal
fromStart"
always_committed_session_13_player2,sampleJointGoal_fromStart,0,0.5,"sampleJointGoal
fromStart"
always_committed_session_13_player2,sampleJointGoal_fromStart,1,0.7712613710872304,"sampleJointGoal
fromStart"
always_committed_session_13_player2,sampleJointGoal_fromStart,2,0.8879880726623404,"sampleJointGoal
fromStart"
always_committed_session_13_player2,sampleJointGoal_fromStart,3,0.9420024018406582,"sampleJointGoal
fromStart"
always_committed_session_13_player2,sampleJointGoal_fromStart,4,0.9301748080216252,"sampleJointGoal
fromStart"
always_committed_session_13_player2,sampleJointGoal_fromStart,5,0.9497881369449923,"sampleJointGoal
fromStart"
always_committed_session_14_player1,sampleJointGoal_fromStart,0,0.5,"sampleJointGoal
fromStart"
always_committed_session_14_player1,sampleJointGoal_fromStart,1,0.911915664492942,"sampleJointGoal
fromStart"
always_committed_session_14_player1,sampleJointGoal_fromStart,2,0.9962422937328649,"sampleJointGoal
fromStart"
always_committed_session_14_player1,sampleJointGoal_fromStart,3,0.9962576329822251,"sampleJointGoal
fromStart"
always_committed_session_14_player1,sampleJointGoal_fromStart,4,0.9961449069943065,"sampleJointGoal
fromStart"
always_committed_session_14_player1,sampleJointGoal_fromStart,5,0.9964585689264261,"sampleJointGoal
fromStart"
always_committed_session_14_player2,sampleJointGoal_fromStart,0,0.5,"sampleJointGoal
fromStart"
always_committed_session_14_player2,sampleJointGoal_fromStart,1,0.7839616941725704,"sampleJointGoal
fromStart"
always_committed_session_14_player2,sampleJointGoal_fromStart,2,0.9461692019242546,"sampleJointGoal
fromStart"
always_committed_session_14_player2,sampleJointGoal_fromStart,3,0.9256995379292355,"sampleJointGoal
fromStart"
always_committed_session_14_player2,sampleJointGoal_fromStart,4,0.9985181809057754,"sampleJointGoal
fromStart"
always_committed_session_14_player2,sampleJointGoal_fromStart,5,0.9983833733391753,"sampleJointGoal
fromStart"
always_committed_session_15_player1,sampleJointGoal_fromStart,0,0.5,"sampleJointGoal
fromStart"
always_committed_session_15_player1,sampleJointGoal_fromStart,1,0.6849735527664353,"sampleJointGoal
fromStart"
always_committed_session_15_player1,sampleJointGoal_fromStart,2,0.9352914421082661,"sampleJointGoal
fromStart"
always_committed_session_15_player1,sampleJointGoal_fromStart,3,0.9363952553943538,"sampleJointGoal
fromStart"
always_committed_session_15_player1,sampleJointGoal_fromStart,4,0.936438910694715,"sampleJointGoal
fromStart"
always_committed_session_15_player1,sampleJointGoal_fromStart,5,0.938766732512387,"sampleJointGoal
fromStart"
always_committed_session_15_player2,sampleJointGoal_fromStart,0,0.5,"sampleJointGoal
fromStart"
always_committed_session_15_player2,sampleJointGoal_fromStart,1,0.6212711631913022,"sampleJointGoal
fromStart"
always_committed_session_15_player2,sampleJointGoal_fromStart,2,0.7384117605554931,"sampleJointGoal
fromStart"
always_committed_session_15_player2,sampleJointGoal_fromStart,3,0.8222616501286555,"sampleJointGoal
fromStart"
always_committed_session_15_player2,sampleJointGoal_fromStart,4,0.842806710151541,"sampleJointGoal
fromStart"
always_committed_session_15_player2,sampleJointGoal_fromStart,5,0.8577553775071727,"sampleJointGoal
fromStart"
always_committed_session_16_player1,sampleJointGoal_fromStart,0,0.5,"sampleJointGoal
fromStart"
always_committed_session_16_player1,sampleJointGoal_fromStart,1,0.6804611396275989,"sampleJointGoal
fromStart"
always_committed_session_16_player1,sampleJointGoal_fromStart,2,0.6966997518755981,"sampleJointGoal
fromStart"
always_committed_session_16_player1,sampleJointGoal_fromStart,3,0.955175945610428,"sampleJointGoal
fromStart"
always_committed_session_16_player1,sampleJointGoal_fromStart,4,0.9421431589318159,"sampleJointGoal
fromStart"
always_committed_session_16_player1,sampleJointGoal_fromStart,5,0.965006275233208,"sampleJointGoal
fromStart"
always_committed_session_16_player2,sampleJointGoal_fromStart,0,0.5,"sampleJointGoal
fromStart"
always_committed_session_16_player2,sampleJointGoal_fromStart,1,0.5499793194836985,"sampleJointGoal
fromStart"
always_committed_session_16_player2,sampleJointGoal_fromStart,2,0.6313981187279917,"sampleJointGoal
fromStart"
always_committed_session_16_player2,sampleJointGoal_fromStart,3,0.6991353154740065,"sampleJointGoal
fromStart"
always_committed_session_16_player2,sampleJointGoal_fromStart,4,0.7903893677707564,"sampleJointGoal
fromStart"
always_committed_session_16_player2,sampleJointGoal_fromStart,5,0.8165997037518683,"sampleJointGoal
fromStart"
always_committed_session_17_player1,sampleJointGoal_fromStart,0,0.5,"sampleJointGoal
fromStart"
always_committed_session_17_player1,sampleJointGoal_fromStart,1,0.6575217260886008,"sampleJointGoal
fromStart"
always_committed_session_17_player1,sampleJointGoal_fromStart,2,0.7836053980841402,"sampleJointGoal
fromStart"
always_committed_session_17_player1,sampleJointGoal_fromStart,3,0.750350183825627,"sampleJointGoal
fromStart"
always_committed_session_17_player1,sampleJointGoal_fromStart,4,0.8522056080146541,"sampleJointGoal
fromStart"
always_committed_session_17_player1,sampleJointGoal_fromStart,5,0.9307662175901336,"sampleJointGoal
fromStart"
always_committed_session_17_player2,sampleJointGoal_fromStart,0,0.5,"sampleJointGoal
fromStart"
always_committed_session_17_player2,sampleJointGoal_fromStart,1,0.7327289656689392,"sampleJointGoal
fromStart"
always_committed_session_17_player2,sampleJointGoal_fromStart,2,0.8322147467832627,"sampleJointGoal
fromStart"
always_committed_session_17_player2,sampleJointGoal_fromStart,3,0.8907171736094571,"sampleJointGoal
fromStart"
always_committed_session_17_player2,sampleJointGoal_fromStart,4,0.8910006256693972,"sampleJointGoal
fromStart"
always_committed_session_17_player2,sampleJointGoal_fromStart,5,0.8778871675787409,"sampleJointGoal
fromStart"
always_committed_session_18_player1,sampleJointGoal_fromStart,0,0.5,"sampleJointGoal
fromStart"
always_committed_session_18_player1,sampleJointGoal_fromStart,1,0.6715886856538883,"sampleJointGoal
fromStart"
always_committed_session_18_player1,sampleJointGoal_fromStart,2,0.723719184065346,"sampleJointGoal
fromStart"
always_committed_session_18_player1,sampleJointGoal_fromStart,3,0.7806975115532147,"sampleJointGoal
fromStart"
always_committed_session_18_player1,sampleJointGoal_fromStart,4,0.8467477271220738,"sampleJointGoal
fromStart"
always_committed_session_18_player1,sampleJointGoal_fromStart,5,0.846706954940131,"sampleJointGoal
fromStart"
always_committed_session_18_player2,sampleJointGoal_fromStart,0,0.5,"sampleJointGoal
fromStart"
always_committed_session_18_player2,sampleJointGoal_fromStart,1,0.5653498141464803,"sampleJointGoal
fromStart"
always_committed_session_18_player2,sampleJointGoal_fromStart,2,0.6870094139099474,"sampleJointGoal
fromStart"
always_committed_session_18_player2,sampleJointGoal_fromStart,3,0.7156697081662926,"sampleJointGoal
fromStart"
always_committed_session_18_player2,sampleJointGoal_fromStart,4,0.8206208322020371,"sampleJointGoal
fromStart"
always_committed_session_18_player2,sampleJointGoal_fromStart,5,0.8695657981393434,"sampleJointGoal
fromStart"
always_committed_session_19_player1,sampleJointGoal_fromStart,0,0.5,"sampleJointGoal
fromStart"
always_committed_session_19_player1,sampleJointGoal_fromStart,1,0.7467772067481471,"sampleJointGoal
fromStart"
always_committed_session_19_player1,sampleJointGoal_fromStart,2,0.8181256342210468,"sampleJointGoal
fromStart"
always_committed_session_19_player1,sampleJointGoal_fromStart,3,0.8831667286325886,"sampleJointGoal
fromStart"
always_committed_session_19_player1,sampleJointGoal_fromStart,4,0.9565954050397951,"sampleJointGoal
fromStart"
always_committed_session_19_player1,sampleJointGoal_fromStart,5,0.973715526020967,"sampleJointGoal
fromStart"
always_committed_session_19_player2,sampleJointGoal_fromStart,0,0.5,"sampleJointGoal
fromStart"
always_committed_session_19_player2,sampleJointGoal_fromStart,1,0.8678316357126922,"sampleJointGoal
fromStart"
always_committed_session_19_player2,sampleJointGoal_fromStart,2,0.9379670828560622,"sampleJointGoal
fromStart"
always_committed_session_19_player2,sampleJointGoal_fromStart,3,0.9383576384782135,"sampleJointGoal
fromStart"
always_committed_session_19_player2,sampleJointGoal_fromStart,4,0.9384060602575081,"sampleJointGoal
fromStart"
always_committed_session_19_player2,sampleJointGoal_fromStart,5,0.9382041511122912,"sampleJointGoal
fromStart"
always_committed_session_1_player1,sampleJointGoal_fromStart,0,0.5,"sampleJointGoal
fromStart"
always_committed_session_1_player1,sampleJointGoal_fromStart,1,0.6610660569941541,"sampleJointGoal
fromStart"
