condition_scope,measure,mean,ci95_lower,ci95_upper,n_trials
equal_to_both,2-goal posterior P(old shared),0.9999926817415025,0.999990623592306,0.999994739890699,72
equal_to_both,3-goal scaled P(old shared | old shared or new),0.6666650403674677,0.6666645829954472,0.6666654977394881,72
equal_to_both,3-goal raw P(old shared),0.6666617878276684,0.6666604157282041,0.6666631599271327,72
equal_to_both,3-goal raw P(old alternative),4.878838998318247e-06,3.5067395340047814e-06,6.2509384626317135e-06,72
equal_to_both,3-goal raw P(new),0.3333333333333333,0.3333333333333333,0.3333333333333333,72
