lambda,condition_scope,condition_label,success_percent,success_ci_lower,success_ci_upper,success_n,efficiency_percent,efficiency_ci_lower,efficiency_ci_upper,efficiency_n,commitment_percent,commitment_ci_lower,commitment_ci_upper,commitment_n,signaling_percent,signaling_ci_lower,signaling_ci_upper,signaling_n
0.15,average,Average all 2P3G distance conditions,93.88888888888889,91.54823625624545,96.22954152153234,30,89.034775993245,87.7729886070241,90.29656337946591,60,78.53505291005291,74.4235865703956,82.64651924971024,30,36.132936507936506,31.24535566922124,41.02051734665177,60
0.15,equal_to_both,Equal-to-both only,100.0,100.0,100.0,30,98.62667001208668,97.60195690403972,99.65138312013363,60,85.55555555555556,77.01508121270717,94.09602989840393,30,36.94444444444445,28.36495984605201,45.52392904283689,60
